Kanji#Reading#JLPT#Type#Meaning
['あの人']#[['あのひと']]#5#['&pn;']#['he', 'she', 'that person']
['水中ビデオ']#[['すいちゅうビデオ']]#5#['&n;']#['underwater videography']
['水中ナビゲーション']#[['すいちゅうナビゲーション']]#5#['&n;']#['underwater navigation']
['水中ナチュラリストダイブ']#[['すいちゅうナチュラリストダイブ']]#5#['&n;']#['underwater naturalist dive']
['水中スクーターダイブ']#[['すいちゅうスクーターダイブ']]#5#['&n;']#['dive on an underwater scooter', 'diver propulsion vehicle dive']
['水中スクーター']#[['すいちゅうスクーター']]#5#['&n;']#['diver propulsion vehicle', 'DPV', 'underwater scooter']
['空気タンク']#[['くうきタンク']]#5#['&n;']#['air tank (scuba)']
['大アメリカ鼯鼠']#[['おおアメリカももんが'], ['オオアメリカモモンガ']]#5#['&n;']#['northern flying squirrel (Glaucomys sabrinus)']
['クリンゴン語']#[['クリンゴンご']]#5#['&n;']#['Klingon (fictitious language)']
['水中ライト']#[['すいちゅうライト']]#5#['&n;']#['underwater dive light']
['二十二社']#[['にじゅうにしゃ']]#5#['&n;']#['the Twenty-Two Shrines', {'_': 'the 22 most important Shinto shrines, as designated during the Heian period', '$': {'g_type': 'expl'}}]
['ブランド名']#[['ブランドめい']]#5#['&n;']#['brand name']
['月火']#[['げつか']]#5#['&n;']#['Monday and Tuesday']
['土茯苓']#[['どぶくりょう']]#5#['&n;']#['Smilax glabra (species of sarsaparilla, used esp. to refer to its dried rhizome, used in Chinese medicine)']
['生ワクチン']#[['なまワクチン']]#5#['&n;']#['live vaccine']
['ボーア人']#[['ボーアじん'], ['ブーアじん'], ['ブールじん']]#5#['&n;']#['Boer']
['バルサムの木']#[['バルサムのき']]#5#['&n;']#['balsam fir (Abies balsamea)']
['カチン語']#[['カチンご']]#5#['&n;']#['Kachin (language)']
['山もがし']#[['やまもがし'], ['ヤマモガシ']]#5#['&n;']#['Helicia cochinchinensis (species of flowering plant)']
['目木']#[['めぎ'], ['メギ']]#5#['&n;']#['Japanese barberry (Berberis thunbergii)']
['花綵']#[['はなづな']]#5#['&n;']#['garland', 'festoon (of flowers)']
['大薔薇苺']#[['おおばらいちご'], ['オオバライチゴ']]#5#['&n;']#['Rubus croceacanthus (species of raspberry)']
['山茱萸']#[['さんしゅゆ'], ['サンシュユ']]#5#['&n;']#['Asiatic dogwood (Cornus officinalis)', 'Japanese cornel', 'Japanese cornelian-cherry']
['子']#[['し']]#5#['&n;']#['child (esp. a boy)']
['大蓬']#[['おおよもぎ'], ['オオヨモギ']]#5#['&n;']#['Artemisia montana']
['山蓬']#[['やまよもぎ'], ['ヤマヨモギ']]#5#['&n;']#['Artemisia montana']
['子ガモ']#[['こガモ'], ['こがも']]#5#['&n;']#['duckling', 'baby duck']
['手前ども']#[['てまえども']]#5#['&pn;']#['we (esp. used by merchants, etc.)', 'my store', 'my shop']
['アイスランド語']#[['アイスランドご']]#5#['&n;']#['Icelandic (language)']
['火山ガラス']#[['かざんガラス']]#5#['&n;']#['volcanic glass']
['火山フロント']#[['かざんフロント']]#5#['&n;']#['volcanic front']
['火山塵']#[['かざんじん']]#5#['&n;']#['volcanic dust']
['パイプ椅子']#[['パイプいす']]#5#['&n;']#['folding chair (with tubular metal frame)']
['二分']#[['にふん']]#5#['&n;']#['two minutes']
['電気クラゲ']#[['でんきクラゲ'], ['でんきくらげ']]#5#['&n;']#['Portuguese man-of-war (Physalia physalis)']
['ズボン下']#[['ズボンした']]#5#['&n;']#['long johns', 'long underpants', 'long underwear']
['八万']#[['はちまん'], ['やよろず']]#5#['&n;']#['80000']
['八万四千']#[['はちまんよんせん'], ['はちまんしせん']]#5#['&n;']#['many']
['８０万']#[['はちじゅうまん']]#5#['&num;']#['800,000', 'eight hundred thousand']
['５００万']#[['ごひゃくまん'], ['いおよろず']]#5#['&num;']#['5,000,000', 'five million']
['口ばかり']#[['くちばかり'], ['くちばっかり']]#5#['&n;']#['all talk (and no action)']
['クラス会']#[['クラスかい']]#5#['&n;']#['class reunion']
['サイン会']#[['サインかい']]#5#['&n;']#['signing', 'autograph session']
['万子']#[['ワンズ'], ['マンズ'], ['ワンツ']]#5#['&n;']#['character tiles']
['書函']#[['しょかん']]#5#['&n;']#['letterbox']
['花かご']#[['はなかご'], ['けこ'], ['はなこ']]#5#['&n;']#['flower basket']
['花筐']#[['はながたみ']]#5#['&n;']#['flower basket']
['コスト高']#[['コストだか']]#5#['&n;']#['high cost', 'high costs']
['ルンルン気分']#[['ルンルンきぶん'], ['るんるんきぶん']]#5#['&n;']#['euphoric mood', 'exuberant mood']
['籀書']#[['ちゅうしょ']]#5#['&n;']#[\"large seal script (dating from China's Spring and Autumn period onward)\"]
['火車']#[['かしゃ']]#5#['&n;']#['fiery chariot']
['タイ人']#[['タイじん']]#5#['&n;']#['Thai', 'person from Thailand']
['月立ち']#[['つきたち']]#5#['&n;']#['first day of the month']
['１日']#[['ついたち'], ['さくじつ'], ['いっぴ']]#5#['&n;']#['1st day of the month']
['中肋']#[['ちゅうろく']]#5#['&n;']#['midrib', 'rachis']
['ブルジョア社会']#[['ブルジョアしゃかい']]#5#['&n;']#['bourgeois society']
['さいの目']#[['さいのめ']]#5#['&n;']#['pip (spot on a die)']
['電気ウナギ']#[['でんきウナギ'], ['でんきうなぎ']]#5#['&n;']#['electric eel (Electrophorus electricus)']
['大鰻']#[['おおうなぎ'], ['オオウナギ']]#5#['&n;']#['giant mottled eel (Anguilla marmorata)', 'marbled eel']
['川八目']#[['かわやつめ'], ['カワヤツメ']]#5#['&n;']#['Arctic lamprey (Lethenteron camtschaticum)']
['八目鏑']#[['やつめかぶら']]#5#['&n;']#['eight-holed arrow whistle']
['八目']#[['やつめ']]#5#['&n;']#['eighth (place, position, etc.)']
['烏木']#[['うぼく']]#5#['&n;']#['ebony']
['一匕']#[['いっぴ']]#5#['&n;']#['one spoon']
['名目上']#[['めいもくじょう']]#5#['&n;']#['in name', 'on paper']
['本目']#[['ほんめ']]#5#['&n;']#['type of flat knot used in nets']
['ゴム手']#[['ゴムて']]#5#['&n;']#['rubber gloves']
['川鵜']#[['かわう'], ['カワウ']]#5#['&n;']#['great cormorant (Phalacrocorax carbo)']
['土蜂']#[['ゆするばち']]#5#['&n;']#['digger wasp']
['土蜂']#[['つちばち'], ['ツチバチ']]#5#['&n;']#['scoliid wasp (any wasp of family Scoliidae)']
['ハチ目']#[['ハチもく'], ['はちもく']]#5#['&n;']#['Hymenoptera']
['チョウ目']#[['チョウもく'], ['ちょうもく'], ['チョウモク']]#5#['&n;']#['Lepidoptera']
['ハエ目']#[['ハエもく'], ['はえもく']]#5#['&n;']#['Diptera']
['蜂の子']#[['はちのこ']]#5#['&n;']#['hornet larva (esp. of yellowjacket species Vespula flaviceps)', 'bee larva']
['川螻蛄']#[['かわげら'], ['カワゲラ']]#5#['&n;']#['stonefly (any insect of order Plecoptera, esp. those of family Perlidae)']
['山蟻']#[['やまあり'], ['ヤマアリ']]#5#['&n;']#['wood ant (any ant of genus Formica)']
['四十雀雁']#[['しじゅうからがん'], ['シジュウカラガン']]#5#['&n;']#['Aleutian Canada goose (Branta canadensis leucopareia)']
['アメリカ小雀']#[['アメリカこがら'], ['アメリカコガラ']]#5#['&n;']#['black-capped chickadee (Parus atricapillus)']
['カロライナ小雀']#[['カロライナこがら'], ['カロライナコガラ']]#5#['&n;']#['Carolina chickadee (Parus carolinensis)']
['蓍木']#[['めどぎ']]#5#['&n;']#['Chinese lespedeza (species of bush clover, Lespedeza cuneata)']
['五大']#[['ごだい']]#5#['&n;']#['the five elements (in Japanese philosophy: earth, water, fire, wind and void)']
['お子']#[['おこ']]#5#['&n;']#[\"(someone else's) child\"]
['スコラ学']#[['スコラがく']]#5#['&n;']#['scholasticism']
['新スコラ学']#[['しんスコラがく']]#5#['&n;']#['neo-scholasticism']
['手纏']#[['たまき']]#5#['&n;']#['bracelet (made of stringed jewels or bells and worn at the elbow)']
['小上がり']#[['こあがり']]#5#['&n;']#['raised tatami-floored seating area (usu. in a Japanese restaurant)', 'small separate dining room']
['後月']#[['あとげつ']]#5#['&n;']#['last month']
['後の月']#[['あとのつき']]#5#['&n;']#['last month']
['後の月']#[['のちのつき']]#5#['&n;']#['moon of the 13th day of 9th lunar month']
['後の月見']#[['のちのつきみ']]#5#['&n;']#['moon-viewing on the 13th day of the 9th lunar month']
['エスカレーター校']#[['エスカレーターこう'], ['エスカレータこう']]#5#['&n;']#['private school that allows students to advance from one stage of education to the next, often kindergarten to university, without taking entrance exams en route']
['エスカレーター学校']#[['エスカレーターがっこう'], ['エスカレータがっこう']]#5#['&n;']#['private school that allows students to advance from one stage of education to the next, often kindergarten to university, without taking entrance exams en route', {'_': 'escalator school', '$': {'g_type': 'lit'}}]
['お出来']#[['おでき']]#5#['&n;']#['boil', 'blister', 'pimple']
['男気']#[['おとこげ'], ['おとこけ']]#5#['&n;']#['male presence']
['女っ気']#[['おんなっけ']]#5#['&n;']#['female presence']
['女気']#[['おんなぎ']]#5#['&n;']#['feminine spirit', 'graceful and kind nature']
['気']#[['け']]#5#['&n;', '&n-suf;']#['sign', 'indication', 'trace', 'touch', 'feeling']
['レズっ気']#[['レズっけ']]#5#['&n;']#['lesbian feelings', 'lesbian tendencies']
['檳榔子']#[['びんろうじ'], ['ビンロウジ']]#5#['&n;']#['areca nut']
['カシューの木']#[['カシューのき']]#5#['&n;']#['cashew tree (Anacardium occidentale)', 'acajou']
['ねじれ国会']#[['ねじれこっかい']]#5#['&n;']#['houses of the Diet being controlled by different parties', {'_': 'twisted parliament', '$': {'g_type': 'lit'}}]
['目耳']#[['めみみ']]#5#['&n;']#[\"(one's own) eyes and ears\"]
['いのちの電話']#[['いのちのでんわ']]#5#['&n;']#['telephone counselling service']
['カタカナ語']#[['カタカナご'], ['かたかなご']]#5#['&n;']#['katakana word', 'word written in katakana']
['右上がり']#[['みぎあがり']]#5#['&n;']#['rising diagonally up and to the right']
['道の駅']#[['みちのえき']]#5#['&n;']#['roadside station (government-designated rest area found along roads and highways)']
['ジモ語']#[['ジモご']]#5#['&n;']#['local language', 'local dialect']
['チョン国']#[['チョンこく']]#5#['&n;']#['Korea']
['大簇']#[['たいそう'], ['たいぞく']]#5#['&n;']#['(in China) 3rd note of the ancient chromatic scale (approx. E)']
['糠子']#[['ぬかご']]#5#['&n;']#['biting midge (any insect of family Ceratopogonidae)', 'no-see-um']
['ハワイ語']#[['ハワイご']]#5#['&n;']#['Hawaiian (language)']
['国鱒']#[['くにます'], ['クニマス']]#5#['&n;']#['Oncorhynchus nerka kawamurae (rare Japanese subspecies of sockeye salmon)']
['山女']#[['やまおんな']]#5#['&n;']#['mountain witch']
['白し']#[['びゃくし'], ['ビャクシ']]#5#['&n;']#['bai zhi (Chinese name for angelica species Angelica dahurica)', 'traditional Chinese cure made from the root of this plant']
['花蜘蛛']#[['はなぐも'], ['ハナグモ']]#5#['&n;']#['Misumenops tricuspidatus (species of crab spider)']
['土蜘蛛']#[['つちぐも']]#5#['&n;']#['Atypus karschi (Asian species of mygalomorph spider)']
['足長蜘蛛']#[['あしながぐも'], ['アシナガグモ']]#5#['&n;']#['Tetragnatha praedonia (species of long-jawed orb weaver)']
['足高蜘蛛']#[['あしだかぐも'], ['アシダカグモ']]#5#['&n;']#['huntsman spider (Heteropoda venatoria)']
['カメムシ目']#[['カメムシもく'], ['かめむしもく']]#5#['&n;']#['Hemiptera', 'true bugs']
['木虱']#[['きじらみ'], ['キジラミ']]#5#['&n;']#['psylla (any insect of family Psyllidae)', 'psyllid', 'jumping plant louse']
['アミメカゲロウ目']#[['アミメカゲロウもく'], ['あみめかげろうもく']]#5#['&n;']#['Neuroptera', {'_': 'order of insects with four membranous wings', '$': {'g_type': 'expl'}}]
['水虻']#[['みずあぶ'], ['ミズアブ']]#5#['&n;']#['soldier fly (any fly of family Stratiomyidae, esp. species Stratiomys japonica)']
['棘魚']#[['とげうお'], ['トゲウオ']]#5#['&n;']#['stickleback (Gasterosteidae spp.)']
['蓑笠子']#[['みのかさご'], ['ミノカサゴ']]#5#['&n;']#['luna lionfish (Pterois lunulata)']
['パーリ語']#[['パーリご']]#5#['&n;']#['Pali (language)']
['生ゴム']#[['なまゴム']]#5#['&n;']#['raw rubber', 'crude rubber']
['八咫']#[['やあた'], ['やた']]#5#['&n;']#['eight ata (approx. 144 cm)']
['八咫烏']#[['やたがらす'], ['ヤタガラス']]#5#['&n;']#['Yatagarasu (mythical raven who aided Emperor Jimmu on his eastern expedition)']
['八咫の烏']#[['やたのからす']]#5#['&n;']#['Yatagarasu (mythical raven who aided Emperor Jimmu on his eastern expedition)']
['シャム語']#[['シャムご']]#5#['&n;']#['Siamese (language)', 'Thai']
['川鼠']#[['かわねずみ'], ['カワネズミ']]#5#['&n;']#['Japanese water shrew (Chimarrogale platycephala)']
['日東']#[['にっとう']]#5#['&n;']#['Japan']
['曳山']#[['ひきやま']]#5#['&n;']#['festival float']
['簓子']#[['ささらこ'], ['ささらのこ']]#5#['&n;']#['notched bamboo rod rubbed with an implement similar to a bamboo whisk (used as a percussion instrument)']
['後の諱']#[['のちのいみな']]#5#['&n;']#['posthumous name']
['パンヤの木']#[['パンヤのき']]#5#['&n;']#['red silk-cotton tree (Bombax ceiba)', 'Indian silk-cotton tree']
['カポックの木']#[['カポックのき']]#5#['&exp;', '&n;']#['kapok tree (Ceiba pentandra)']
['お火焚']#[['おひたき'], ['おほたき']]#5#['&n;']#['Kyoto area festival held on the 11th lunar month (wherein bonfires are burned at shrines)']
['火焚き']#[['ひたき']]#5#['&n;']#['building a fire']
['火焚き']#[['ほたき']]#5#['&n;']#['Kyoto area festival held on the 11th lunar month (wherein bonfires are burned at shrines)']
['三諦']#[['さんたい'], ['さんだい']]#5#['&n;']#['threefold truth (all things are void; all things are temporary; all things are in the middle state between these two) (in Tendai)']
['空諦']#[['くうたい']]#5#['&n;']#['truth of emptiness (holding that all things are void)']
['中諦']#[['ちゅうたい']]#5#['&n;']#['truth of the middle (all things are in a middle state, being void yet having temporary existence)']
['北魏']#[['ほくぎ']]#5#['&n;']#['Northern Wei dynasty (of China; 386-535)']
['四手の木']#[['しでのき']]#5#['&n;']#['loose-flowered hornbeam (Carpinus laxiflora)']
['大嘗会']#[['だいじょうえ']]#5#['&n;']#['banquet on the occasion of the first ceremonial offering of rice by the newly-enthroned emperor']
['宋学']#[['そうがく']]#5#['&n;']#['Song-period neo-Confucianism (based esp. on the teachings of Zhu Xi)']
['人長']#[['にんじょう'], ['ひとおさ']]#5#['&n;']#['chief kagura dancer (of kagura performed at the imperial palace)']
['五賤']#[['ごせん']]#5#['&n;']#['five lowly castes of the ritsuryō system']
['鵯花']#[['ひよどりばな'], ['ヒヨドリバナ']]#5#['&n;']#['Eupatorium makinoi (species of boneset)']
['祓川']#[['はらえがわ']]#5#['&n;']#['river in which worshippers purify themselves before praying']
['手びねり']#[['てびねり']]#5#['&n;']#[\"forming by hand (instead of using a potter's wheel, etc.)\", 'handwork']
['千入']#[['ちしお']]#5#['&n;']#['soaking in dye innumerable times']
['入国カード']#[['にゅうこくカード']]#5#['&n;']#['disembarkation card', 'entry card', 'arrival card', 'immigration card', 'landing card', 'incoming passenger card']
['出国カード']#[['しゅっこくカード']]#5#['&n;']#['departure card', 'embarkation card', 'emigration card']
['火']#[['か']]#5#['&n;']#['Tuesday']
['木']#[['もく']]#5#['&n;']#['Thursday']
['土']#[['ど']]#5#['&n;']#['Saturday']
['大辟']#[['たいへき']]#5#['&n;']#['severe punishment', 'death penalty']
['山櫨']#[['やまはぜ']]#5#['&n;']#['woodland sumac (Rhus sylvestris)']
['円鱗']#[['えんりん']]#5#['&n;']#['cycloid scale']
['たった一人']#[['たったひとり']]#5#['&exp;', '&n;']#['just one person', 'only one']
['小中学生']#[['しょうちゅうがくせい']]#5#['&n;']#['elementary and middle school pupils']
['爪先立ち']#[['つまさきだち']]#5#['&n;']#['standing on tiptoes']
['子ぎつね']#[['こぎつね'], ['こギツネ'], ['コギツネ']]#5#['&n;']#['fox cub', 'little fox', 'small fox', 'juvenile fox']
['日ぎめ']#[['ひぎめ']]#5#['&n;']#['by the day', 'daily']
['読み書きそろばん']#[['よみかきそろばん']]#5#['&exp;', '&n;']#['the three Rs', 'reading, writing and arithmetic']
['二人きり']#[['ふたりきり']]#5#['&n;']#['just the two of them']
['二人っきり']#[['ふたりっきり']]#5#['&n;']#['just the two of them']
['北宋']#[['ほくそう']]#5#['&n;']#['Northern Song dynasty (of China; 960-1127)']
['六卿']#[['りくけい'], ['りっけい']]#5#['&n;']#['six ministers (of the six Zhou-dynasty Chinese ministries)']
['九卿']#[['きゅうけい']]#5#['&n;']#['nine ministers (of the ancient Chinese government)']
['小人ペンギン']#[['こびとペンギン'], ['コビトペンギン']]#5#['&n;']#['little penguin (Eudyptula minor)', 'fairy penguin']
['人っ子ひとり']#[['ひとっこひとり']]#5#['&n;']#['(not) a soul', '(not) a single person']
['儲け話']#[['もうけばなし']]#5#['&n;']#['(talk of a) moneymaking scheme', 'moneymaking idea', 'get-rich-quick proposal']
['柿の木']#[['かきのき'], ['カキノキ']]#5#['&n;']#['Japanese persimmon (Diospyros kaki)', 'Chinese persimmon', 'kaki']
['白兎']#[['しろうさぎ']]#5#['&n;']#['white rabbit']
['西アジア']#[['にしアジア']]#5#['&n;']#['West Asia']
['見']#[['み']]#5#['&n-suf;', '&n;']#['looking', 'viewing']
['見']#[['けん']]#5#['&n;']#['view (of life, etc.)', 'outlook']
['お手']#[['おて']]#5#['&n;']#['hand', 'arm']
['半跏']#[['はんか']]#5#['&n;']#['half lotus position (meditation posture)', {'_': 'sitting with one foot placed on the opposite thigh', '$': {'g_type': 'expl'}}]
['電子オルガン']#[['でんしオルガン']]#5#['&n;']#['electric organ']
['下って']#[['くだって']]#5#['&conj;']#['humbly']
['高さアクセント']#[['たかさアクセント']]#5#['&n;']#['pitch accent']
['ツングース語']#[['ツングースご']]#5#['&n;']#['Tungusic language (esp. Evenki)']
['ワゴン車']#[['ワゴンしゃ']]#5#['&n;']#['station wagon', 'estate car']
['ひとかどの人間']#[['ひとかどのにんげん']]#5#['&exp;', '&n;']#['somebody (important)', 'person of importance']
['車前子']#[['しゃぜんし']]#5#['&n;']#['plantain seed']
['白んぼ']#[['しろんぼ'], ['シロンボ']]#5#['&n;']#['white person', 'whitey', 'honkie']
['日本語学']#[['にほんごがく']]#5#['&n;']#['Japanese linguistics']
['日本ザリガニ']#[['にほんザリガニ'], ['にほんざりがに'], ['ニホンザリガニ']]#5#['&n;']#['Japanese crayfish (Cambaroides japonicus)']
['小エビ']#[['こエビ'], ['こえび'], ['コエビ']]#5#['&n;']#['shrimp (infraorder Caridea)']
['山椒喰']#[['さんしょうくい'], ['サンショウクイ']]#5#['&n;']#['ashy minivet (species of passerine bird, Pericrocotus divaricatus)']
['シンハラ語']#[['シンハラご']]#5#['&n;']#['Sinhalese (language)', 'Sinhala']
['シンハラ人']#[['シンハラじん']]#5#['&n;']#['Sinhalese people', 'Sinhalese person']
['小母さん']#[['おばさん']]#5#['&n;']#['old lady', \"ma'am\"]
['何語']#[['なにご']]#5#['&n;']#['what language']
['一年半']#[['いちねんはん']]#5#['&n;']#['one year and a half']
['インターネット電話']#[['インターネットでんわ']]#5#['&n;']#['Internet telephony']
['何名']#[['なんめい']]#5#['&n;']#['how many people']
['コソ花']#[['コソか'], ['クッソか']]#5#['&n;']#['kousso (vermifuge made from pistillate brayera flowers)', 'kosso', 'cusso', 'koso']
['黐の木']#[['もちのき'], ['モチノキ']]#5#['&n;']#['Nepal holly (Ilex integra)']
['千本槍']#[['せんぼんやり'], ['センボンヤリ']]#5#['&n;']#['Leibnitz daisy (Leibnitzia anandria)']
['ボタンの木']#[['ボタンのき']]#5#['&n;']#['buttonwood tree (Platanus occidentalis)', 'American sycamore', 'buttonball tree']
['山鼠']#[['やまね'], ['ヤマネ'], ['やまねみず']]#5#['&n;']#['Japanese dormouse (Glirulus japonicus)']
['ゴミの日']#[['ゴミのひ'], ['ごみのひ']]#5#['&exp;', '&n;']#['garbage day', 'rubbish collection day']
['ライバル会社']#[['ライバルがいしゃ']]#5#['&n;']#['rival (company)', 'competitor']
['南燭']#[['しゃしゃんぼ'], ['シャシャンボ']]#5#['&n;']#['sea bilberry (Vaccinium bracteatum)']
['金襴手']#[['きんらんで']]#5#['&n;']#['gold-painted porcelain']
['学食']#[['がくしょく']]#5#['&n;']#['school cafeteria']
['ルーマニア語']#[['ルーマニアご']]#5#['&n;']#['Romanian (language)', 'Rumanian', 'Roumanian']
['多聞天']#[['たもんてん']]#5#['&n;']#['Vaisravana (Buddhist deity)']
['ビン南語']#[['ビンなんご'], ['ミンなんご']]#5#['&n;']#['Southern Min', 'Minnan', {'_': 'southern branch of Min Chinese', '$': {'g_type': 'expl'}}]
['アメ車']#[['アメしゃ']]#5#['&n;']#['American car']
['耳の日']#[['みみのひ']]#5#['&exp;', '&n;']#['World Hearing Day (March 3)']
['お目']#[['おめ']]#5#['&n;']#['eye', 'eyes']
['スコットランド人']#[['スコットランドじん']]#5#['&n;']#['Scot', 'Scottish person']
['半パン']#[['はんパン']]#5#['&n;']#['shorts', 'short pants']
['六国']#[['りっこく'], ['ろっこく'], ['りくこく']]#5#['&n;']#[\"the Six Kingdoms (of China's Warring States period: Qi, Chu, Yan, Han, Wei and Zhao)\"]
['小の月']#[['しょうのつき']]#5#['&exp;', '&n;']#['short month (i.e. having fewer than 31 days)']
['大の月']#[['だいのつき']]#5#['&exp;', '&n;']#['long month (i.e. having 31 days)']
['いささ小川']#[['いささおがわ'], ['いさらおがわ']]#5#['&n;']#['trickling brook']
['いささ川']#[['いささがわ'], ['いさらがわ']]#5#['&n;']#['trickling brook']
['ゲルマン人']#[['ゲルマンじん']]#5#['&n;']#['Germanic peoples']
['マラヤーラム語']#[['マラヤーラムご']]#5#['&n;']#['Malayalam (language)']
['道諦']#[['どうたい']]#5#['&n;']#['truth of the way to the cessation of suffering']
['中道']#[['なかみち']]#5#['&n;']#['road through the middle', 'middle road']
['大ボケ']#[['おおボケ'], ['おおぼけ']]#5#['&n;']#['great idiot', 'fool', '(saying) something silly or stupid']
['高１']#[['こういち']]#5#['&n;']#['first year of high school', 'first-year high school student']
['高２']#[['こうに']]#5#['&n;']#['second year of high school', 'second-year high-school student']
['高３']#[['こうさん']]#5#['&n;']#['third year of high school', 'third-year high-school student']
['百千万']#[['ひゃくせんまん']]#5#['&n;']#['multitudinousness']
['行']#[['こう']]#5#['&n;', '&n-suf;']#['going', 'travelling', 'traveling', 'journey', 'trip']
['多時']#[['たじ']]#5#['&n;']#['lots of time']
['人クローン']#[['ひとクローン'], ['ヒトクローン']]#5#['&n;']#['human clone']
['六大']#[['ろくだい']]#5#['&n;']#['the six elements (earth, water, fire, wind, void, and consciousness)']
['四曼']#[['しまん']]#5#['&n;']#['four types of mandala (in Shingon)']
['口']#[['く'], ['こう']]#5#['&n;']#['mouth', 'speech']
['後七日']#[['ごしちにち']]#5#['&n;']#['January 8-14']
['ムーア人']#[['ムーアじん']]#5#['&n;']#['Moor']
['マシン語']#[['マシンご']]#5#['&n;']#['machine language']
['手ぶれ']#[['てぶれ'], ['てブレ']]#5#['&n;']#['camera shake']
['行き道']#[['ゆきみち']]#5#['&n;']#['route (when going somewhere)', 'way (to get somewhere)']
['小鍋']#[['こなべ']]#5#['&n;']#['small saucepan', 'small pot']
['時']#[['どき']]#5#['&n-suf;', '&n;', '&adv;']#['time for ...', 'time to ...', 'good opportunity to ...']
['スズキ目']#[['スズキもく']]#5#['&n;']#['Perciformes (order of perch and perch-like fish)']
['時間目']#[['じかんめ']]#5#['&n;']#['period (e.g. class)']
['１５日']#[['じゅうごにち']]#5#['&n;']#['15th day of the month']
['白毫']#[['びゃくごう']]#5#['&n;']#['whorl of white hair on the forehead of the Buddha, represented by a white precious stone on statues of Buddha', 'urna']
['前出']#[['ぜんしゅつ']]#5#['&adj-no;', '&n;']#['aforementioned', 'above-mentioned', 'given above', 'previous']
['先出']#[['せんしゅつ']]#5#['&adj-no;', '&n;']#['aforementioned', 'above-mentioned', 'given above', 'previous']
['ファイル名']#[['ファイルめい']]#5#['&n;']#['file name', 'filename']
['鳶子']#[['とびこ']]#5#['&n;']#['crane chaser', 'dogman']
['ぶら下がりインデント']#[['ぶらさがりインデント']]#5#['&n;']#['hanging indent']
['アーカイブ先']#[['アーカイブさき']]#5#['&n;']#['archiving destination']
['アイドル時間']#[['アイドルじかん']]#5#['&n;']#['idle time']
['アクセス時間']#[['アクセスじかん']]#5#['&n;']#['access time']
['アセンブリ言語']#[['アセンブリげんご'], ['アセンブラげんご'], ['アセンブリーげんご'], ['アセンブラーげんご']]#5#['&n;']#['assembly language']
['アセンブル時']#[['アセンブルじ']]#5#['&n;']#['assembly time']
['アセンブル時間']#[['アセンブルじかん']]#5#['&n;']#['assembly time']
['アドレス空間']#[['アドレスくうかん']]#5#['&n;']#['address space']
['アルファベットの語']#[['アルファベットのご']]#5#['&n;']#['alphabetic word']
['コード名']#[['コードめい']]#5#['&n;']#['code name (of a product under development)']
['コマンド行']#[['コマンドぎょう']]#5#['&n;']#['command line']
['コマンド名']#[['コマンドめい']]#5#['&n;']#['command name']
['コンパイラ言語']#[['コンパイラげんご']]#5#['&n;']#['compiler languages']
['コンパイル時']#[['コンパイルじ']]#5#['&n;']#['compilation time']
['コンパイル時間']#[['コンパイルじかん']]#5#['&n;']#['compilation time']
['サーチ時間']#[['サーチじかん']]#5#['&n;']#['rotational delay', 'search time']
['サイクル時間']#[['サイクルじかん']]#5#['&n;']#['cycle time']
['サブルーチン名']#[['サブルーチンめい']]#5#['&n;']#['subroutine name']
['シーク時間']#[['シークじかん']]#5#['&n;']#['positioning time', 'seek time']
['シグナル名']#[['シグナルめい']]#5#['&n;']#['signal name']
['システム名']#[['システムめい']]#5#['&n;']#['system-name']
['システム立ち上げ']#[['システムたちあげ']]#5#['&n;']#['system initialization', 'system start up']
['小なり']#[['しょうなり'], ['ショウナリ']]#5#['&n;']#['less-than mark (&lt;)', 'left angle bracket']
['スクリプト言語']#[['スクリプトげんご']]#5#['&n;']#['scripting language', 'script language']
['ステータス行']#[['ステータスぎょう']]#5#['&n;']#['status line']
['スロット時間']#[['スロットじかん']]#5#['&n;']#['slot time (in CSMA-CD)']
['セットアップ時間']#[['セットアップじかん']]#5#['&n;']#['setup time']
['セルラー電話']#[['セルラーでんわ']]#5#['&n;']#['cellular phone', 'mobile phone']
['大なり']#[['だいなり'], ['ダイナリ']]#5#['&n;']#['greater-than mark (&gt;)', 'right angle bracket']
['ダウン時間']#[['ダウンじかん']]#5#['&n;']#['down time']
['チャネル間アダプタ']#[['チャネルかんアダプタ']]#5#['&n;']#['channel-to-channel adapter']
['データ名']#[['データめい']]#5#['&n;']#['data-name']
['ディレクトリ名']#[['ディレクトリめい']]#5#['&n;']#['directory name']
['デバイス名']#[['デバイスめい']]#5#['&n;']#['device name']
['デバッグ行']#[['デバッグぎょう']]#5#['&n;']#['debugging line']
['トラックアクセス時間']#[['トラックアクセスじかん']]#5#['&n;']#['track access time']
['ドキュメンテーション言語']#[['ドキュメンテーションげんご']]#5#['&n;']#['documentary language']
['ドライブ名']#[['ドライブめい']]#5#['&n;']#['drive letter', 'drive letter designator']
['ネットワーク名']#[['ネットワークめい']]#5#['&n;']#['network name']
['ハイパーテキストマークアップ言語']#[['ハイパーテキストマークアップげんご']]#5#['&n;']#['HyperText Markup Language', 'HTML']
['バースト長']#[['バーストちょう']]#5#['&n;']#['burst length']
['パス名']#[['パスめい']]#5#['&n;']#['pathname']
['パッケージ名']#[['パッケージめい']]#5#['&n;']#['package name']
