Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['迸り']#[['ほとばしり']]#100#['&n;']#['gusher', 'spout', 'outpouring', 'effusion', 'torrent']
['Ｅメール']#[['イーメール']]#100#['&n;']#['email', 'electronic mail']
['Ｅメールアドレス']#[['イーメールアドレス']]#100#['&n;']#['email address']
['Ｉノード']#[['アイノード']]#100#['&n;']#['i-node (Unix)']
['ＬＡＮエミュレーション']#[['ランエミュレーション']]#100#['&n;']#['LAN emulation']
['ＲＤＯ']#[['アールディーオー']]#100#['&n;']#['remote data object', 'RDO']
['ＩＣ']#[['アイシー']]#100#['&n;']#['integrated circuit', 'IC']
['ＩＴ']#[['アイティー']]#100#['&n;']#['information technology', 'IT']
['ＩＢＭ']#[['アイビーエム']]#100#['&n;']#['IBM', 'International Business Machines']
['アナログＲＧＢ']#[['アナログアージービー']]#100#['&n;']#['analog RGB (red green blue)']
['アニメーションＧＩＦ']#[['アニメーションジッフ'], ['アニメーションギッフ']]#100#['&n;']#['animated GIF', 'animated Graphics Interchange Format']
['アノニマスＦＴＰ']#[['アノニマスエフティーピー']]#100#['&n;']#['anonymous FTP']
['ＥＭＳ']#[['イーエムエス']]#100#['&n;']#['Express Mail Service', 'EMS']
['ＥＧＡ']#[['イージーエー']]#100#['&n;']#['Enhanced Graphics Adapter', 'EGA']
['インターネットＶＰＮ']#[['インターネットブイピーエン']]#100#['&n;']#['Internet Virtual Private Network']
['インターレースＧＩＦ']#[['インターレースギッフ'], ['インターレースジッフ']]#100#['&n;']#['interlaced GIF']
['ウィンドウズＸＰ']#[['ウィンドウズエックスピー']]#100#['&n;']#['Windows XP']
['ウルトラモバイルＰＣ']#[['ウルトラモバイルピーシー']]#100#['&n;']#['ultra-mobile PC']
['ＡＯＣＥ']#[['エーオーシーイー']]#100#['&n;']#['AOCE']
['ＡＣＯＳ']#[['エーコス']]#100#['&n;']#['ACOS']
['ＡＣＭ']#[['エーシーエム']]#100#['&n;']#['ACM']
['ＡＣＬ']#[['エーシーエル']]#100#['&n;']#['ACL']
['ＡＳＩＣ']#[['エーシック']]#100#['&n;']#['application-specific integrated circuit', 'ASIC']
['ＡＤＰＣＭ']#[['エーディーピーシーエム']]#100#['&n;']#['adaptive differential pulse-code modulation', 'adaptive DPCM', 'ADPCM']
['ＨＤＤ']#[['エッチディーディー'], ['エイチディーディー']]#100#['&n;']#['hard disk drive', 'HDD']
['ＡＴＯＫ']#[['エイトック']]#100#['&n;']#['ATOK (Advanced Technology Of Kana-kanji transfer)', {'_': 'early Japanese IME', '$': {'g_type': 'expl'}}]
['ＳＦＡ']#[['エスエフエー']]#100#['&n;']#['sales force automation', 'SFA']
['ＳＭＴＰ']#[['エスエムティーピー']]#100#['&n;']#['SMTP', 'Simple Mail Transfer Protocol']
['ＳＱＬ']#[['エスキューエル']]#100#['&n;']#['Structured Query Language', 'SQL']
['ＳＪＩＳ']#[['エスジス']]#100#['&n;']#['SJIS', 'Shift_JIS', {'_': 'encoding system for JIS X 0208 characters', '$': {'g_type': 'expl'}}]
['ＸＯＲ']#[['エックスオア'], ['エクスオア'], ['エクソア']]#100#['&n;']#['XOR (Boolean operator)']
['ＥＮＩＡＣ']#[['エニアック']]#100#['&n;']#['ENIAC (Electronic Numerical Integrator And Calculator)']
['ＮＯＳ']#[['ノス']]#100#['&n;']#['network operating system', 'NOS']
['ＦＴＰ']#[['エフティーピー']]#100#['&n;']#['file transfer protocol', 'FTP']
['ＦＤ']#[['エフディー']]#100#['&n;']#['floppy disk', 'FD']
['ＭＯ']#[['エムオー']]#100#['&n;']#['magneto-optical disk', 'MO']
['ＭＤ']#[['エムディー']]#100#['&n;']#['minidisc', 'MD']
['ＬＬＣ']#[['エルエルシー']]#100#['&n;']#['logical link control', 'LLC']
['ＬＺＨ']#[['エルゼットエイチ']]#100#['&n;']#['LZH', 'Lempel-Ziv and Haruyasu compression algorithm']
['エンハンスドＣＤ']#[['エンハンスドシーディー']]#100#['&n;']#['enhanced compact disc']
['ＯＳＩ']#[['オーエスアイ']]#100#['&n;']#['OSI', 'Open Systems Interconnection']
['ＯＬＥ']#[['オーエルイー'], ['オーレ']]#100#['&n;']#['OLE', 'object linking and embedding']
['ＯＤＰ']#[['オーディーピー'], ['オー・ディー・ピー']]#100#['&n;']#['overdrive processor', 'ODP']
['オールインワンＰＣ']#[['オールインワンピーシー']]#100#['&n;']#['all-in-one PC', 'AIO PC']
['ｏｒ']#[['オア']]#100#['&conj;']#['or']
['カスタムＩＣ']#[['カスタムアイシー']]#100#['&n;']#['custom IC']
['カスタムＬＳＩ']#[['カスタムエルエスアイ']]#100#['&n;']#['custom LSI']
['カット＆ペースト']#[['カットアンドペースト']]#100#['&n;']#['cut and paste']
['クラスＡＩＰアドレス']#[['クラスエーアイピーアドレス']]#100#['&n;']#['class A IP address']
['クラスＢＩＰアドレス']#[['クラスビーアイピーアドレス']]#100#['&n;']#['class B IP address']
['クラスＣＩＰアドレス']#[['クラスシーアイピーアドレス']]#100#['&n;']#['class C IP address']
['クラスＩＤ']#[['クラスアイディー']]#100#['&n;']#['class ID']
['ＧＮＵ']#[['グヌー'], ['グニュー']]#100#['&n;']#['GNU (computer OS, project, etc.)']
['グループＩＤ']#[['グループアイディー']]#100#['&n;']#['group identifier', 'GID']
['グローバルＩＰアドレス']#[['グローバルアイピーアドレス']]#100#['&n;']#['global IP address']
['ケーブルＴＶ']#[['ケーブルティービー']]#100#['&n;']#['cable television', 'cable TV']
['ゲストＩＤ']#[['ゲストアイディー']]#100#['&n;']#['guest ID']
['ゲストＯＳ']#[['ゲストオーエス']]#100#['&n;']#['guest Operating System']
['コンテキストＩＤ']#[['コンテキストアイディー']]#100#['&n;']#['context ID']
['コンパクトＨＴＭＬ']#[['コンパクトエッチティーエムエル']]#100#['&n;']#['Compact HTML']
['ｃｃ']#[['シーシー']]#100#['&n;']#['cc (email)', 'carbon copy']
['ＣＣＤ']#[['シーシーディー']]#100#['&n;']#['CCD', 'charge-coupled device']
['ＣＤ-Ｒ']#[['シーディーアール']]#100#['&n;']#['Compact Disc-Recordable', 'CD-R']
['ＣＤ-ＤＡ']#[['シーディーディーエー']]#100#['&n;']#['compact disc digital audio', 'CD-DA']
['ＣＰＭ']#[['シーピーエム']]#100#['&n;']#['critical path method', 'CPM']
['シックスシグマＤＭＡＩＣサイクル']#[['シックスシグマディーエムエーアイシーサイクル']]#100#['&n;']#['six sigma DMAIC cycle']
['シャドウＲＡＭ']#[['シャドウラム']]#100#['&n;']#['shadow RAM']
['シリアルＡＴＡ']#[['シリアルエーティーエー']]#100#['&n;']#['Serial ATA', 'SATA', 'Serial AT Attachment']
['シリアルＥＥＰＲＯＭ']#[['シリアルイーイープロム']]#100#['&n;']#['serial EEPROM']
['シンクロナスＤＲＡＭ']#[['シンクロナスディーラム']]#100#['&n;']#['Synchronous Dynamic Random Access Memory', 'SDRAM']
['シングルＩＴハブ']#[['シングルアイティーハブ']]#100#['&n;']#['single TT hub']
['ＪＣＬ']#[['ジェイシーエル']]#100#['&n;']#['job control language', 'JCL']
['ＪＰＥＧ']#[['ジェイペグ'], ['ジェーペグ']]#100#['&n;']#['JPEG (Joint Photographic Experts Group)', 'JPG']
['スーパーＯＣＮ']#[['スーパーオーシーエン']]#100#['&n;']#['super OCN']
['スーパーオーディオＣＤ']#[['スーパーオーディオシーディー']]#100#['&n;']#['Super Audio CD']
['ＳＣＳＩ']#[['スカジー']]#100#['&n;']#['SCSI', 'Small Computer System Interface']
['スタティックＲＡＭ']#[['スタティックラム']]#100#['&n;']#['static Random Access Memory', 'SRAM']
['スタンダードＭＩＤＩファイル']#[['スタンダードミディファイル']]#100#['&n;']#['Standard MIDI File', 'SMF']
['３Ｄ']#[['スリーディー'], ['さんディー']]#100#['&n;']#['3D', 'three dimensional']
['スループットＢＯＤ']#[['スループットビーオーディー']]#100#['&n;']#['throughput Bandwidth On Demand']
['セカンダリＤＮＳサーバ']#[['セカンダリディーエンエスサーバ']]#100#['&n;']#['secondary DNS server']
['セキュリティＩＤ']#[['セキュリティアイディー']]#100#['&n;']#['security ID']
['ＳＯＨＯ']#[['ソーホー']]#100#['&n;']#['small office home office', 'SOHO']
['タグＲＡＭ']#[['タグラム']]#100#['&n;']#['tag RAM']
['ＴＡＰＩ']#[['タピ'], ['ティーエーピーアイ']]#100#['&n;']#['Telephony Application Programming Interface', 'TAPI']
['ダイナミックＨＴＭＬ']#[['ダイナミックエッチティーエムエル']]#100#['&n;']#['dynamic HTML']
['ダイナミックＲＡＭ']#[['ダイナミックラム']]#100#['&n;']#['dynamic RAM', 'DRAM']
['ダイレクトＯＥＭ']#[['ダイレクトオーイーエム']]#100#['&n;']#['direct OEM']
['ダイレクトＲＤＲＡＭ']#[['ダイレクトアーディーラム']]#100#['&n;']#['Direct Rambus Dynamic Random Access Memory']
['ＤＮＳ']#[['ディーエヌエス']]#100#['&n;']#['DNS', 'Domain Name System']
['ＤＴＰ']#[['ディーティーピー']]#100#['&n;']#['desktop publishing', 'DTP']
['ＤＶＤ-ＲＡＭ']#[['ディーブイディーラム']]#100#['&n;']#['DVD Random Access Memory', 'DVD-RAM']
['ＤＶＤ-ＲＯＭ']#[['ディーブイディーロム']]#100#['&n;']#['DVD-ROM']
['ＤＲＡＭ']#[['ディーラム']]#100#['&n;']#['DRAM']
['デジタルＩＤ']#[['デジタルアイディー']]#100#['&n;']#['digital ID']
['デジタルＰＢＸ']#[['デジタルピービーエックス']]#100#['&n;']#['digital Private Branch eXchange', 'DPBX']
['デジタルＲＧＢ']#[['デジタルアージービー']]#100#['&n;']#['digital RGB']
['デジタルＶＴＲ']#[['デジタルブイティーアー']]#100#['&n;']#['digital Video Tape Recorder']
['デスクトップＰＣ']#[['デスクトップピーシー']]#100#['&n;']#['desktop PC']
['デバイスＩＤ']#[['デバイスアイディー']]#100#['&n;']#['device ID']
['デュアルポートＲＡＭ']#[['デュアルポートラム']]#100#['&n;']#['dual port Random Access Memory']
['トラフィック輻輳']#[['トラフィックふくそう']]#100#['&n;']#['traffic congestion']
['トランザクションＩＤ']#[['トランザクションアイディー']]#100#['&n;']#['transaction ID']
['ＤＯＳ／Ｖ']#[['ドスブイ']]#100#['&n;']#['DOS/V', {'_': 'Japanese-capable version of DOS', '$': {'g_type': 'expl'}}]
['ドュアルポートＲＡＭ']#[['ドュアルポートラム']]#100#['&n;']#['dual-port RAM']
['ドラッグ＆ドロップ']#[['ドラッグアンドドロップ']]#100#['&n;']#['drag and drop']
['ＮＡＫ']#[['ナック']]#100#['&n;']#['negative acknowledgement', 'NAK']
['ＮｕｍＬｏｃｋ']#[['ナムロック']]#100#['&n;']#['NumLock']
['ネットワークＯＳ']#[['ネットワークオーエス']]#100#['&n;']#['network operating system', 'NOS']
['ノートＰＣ']#[['ノートピーシー']]#100#['&n;']#['notebook computer', 'laptop']
['ハードウェアＴ＆Ｌ']#[['ハードウェアティーアンドエル']]#100#['&n;']#['hardware transform and lighting', 'hardware T&amp;L']
['ハイブリッドＩＣ']#[['ハイブリッドアイシー']]#100#['&n;']#['hybrid Integrated Circuit']
['ハンドヘルドＰＣ']#[['ハンドヘルドピーシー']]#100#['&n;']#['handheld Personal Computer', 'HPC']
['バーストＳＲＡＭ']#[['バーストエスラム']]#100#['&n;']#['burst SRAM']
['バーチャルＬＡＮ']#[['バーチャルラン']]#100#['&n;']#['virtual Local Area Network', 'VLAN']
['バスマスタＤＭＡ']#[['バスマスタディーエムエー']]#100#['&n;']#['bus master Direct Memory Access']
['パーシャルＣＡＶ']#[['パーシャルシーエーブイ']]#100#['&n;']#['partial CAV']
['パームサイズＰＣ']#[['パームサイズピーシー']]#100#['&n;']#['palm-size PC', 'handheld PC']
['パイプラインバーストＳＲＡＭ']#[['パイプラインバーストエスラム']]#100#['&n;']#['pipeline burst Static Random Access Memory', 'PB SRAM']
['パラレルＺｉｐ']#[['パラレルジップ']]#100#['&n;']#['parallel Zip', 'Zip drive (with parallel interface)']
['パワーＰＣ']#[['パワーピーシー']]#100#['&n;']#['PowerPC']
['ＢＭＰ']#[['ビーエムピー']]#100#['&n;']#['BMP (file format)', 'bitmap image file']
['ｂｃｃ']#[['ビーシーシー']]#100#['&n;']#['bcc (email)', 'blind carbon copy']
['ビームペネトレーションＣＲＴ']#[['ビームペネトレーションシーアルティー']]#100#['&n;']#['beam penetration CRT']
['ビデオＢＩＯＳ']#[['ビデオバイオス']]#100#['&n;']#['video BIOS', 'VBIOS']
['ビデオＣＤ']#[['ビデオシーディー']]#100#['&n;']#['video CD']
['ビデオＲＡＭ']#[['ビデオラム']]#100#['&n;']#['video random access memory', 'VRAM']
['ＰＣ']#[['ピーシー']]#100#['&n;']#['PC', 'personal computer']
['ＰＣＩ']#[['ピーシーアイ']]#100#['&n;']#['PCI']
['ＰＣＭ']#[['ピーシーエム']]#100#['&n;']#['pulse-code modulation', 'PCM']
['ＰＰＰ']#[['ピーピーピー']]#100#['&n;']#['public-private partnership', 'PPP']
['ｐｉｎｇ']#[['ピング'], ['ピン']]#100#['&n;']#['ping']
['ファイルＤＳＮ']#[['ファイルディーエスエン']]#100#['&n;']#['file DSN']
['ＦＡＸモデム']#[['ファックスモデム'], ['ファックス・モデム']]#100#['&n;']#['fax modem']
['ファントムＢＯＭ']#[['ファントムビーオーエム']]#100#['&n;']#['phantom BOM']
['フラッシュＲＯＭ']#[['フラッシュロム']]#100#['&n;']#['flash ROM']
['フリーＵＮＩＸ']#[['フリーユニックス']]#100#['&n;']#['free UNIX']
['ブータブルＣＤ']#[['ブータブルシーディー']]#100#['&n;']#['bootable CDROM']
['ブータブルＣＤＲＯＭ']#[['ブータブルシーディーロム']]#100#['&n;']#['bootable CD', 'bootable CDROM']
['ブロードバンドＬＡＮ']#[['ブロードバンドラン']]#100#['&n;']#['broadband LAN']
['プライベートＩＰアドレス']#[['プライベートアイピーアドレス']]#100#['&n;']#['private IP address']
['プライマリＤＮＳサーバ']#[['プライマリディーエンエスサーバ']]#100#['&n;']#['primary DNS server']
['プラグ＆プレー']#[['プラグアンドプレー']]#100#['&n;']#['plug and play']
['プラグアンドプレイＢＩＯＳ']#[['プラグアンドプレイバイオス']]#100#['&n;']#['plug and play BIOS']
['プログラムＩＯ']#[['プログラムアイオー']]#100#['&n;']#['Programmed Input-Output']
['プログレッシブＪＰＥＧ']#[['プログレッシブジェーペッグ']]#100#['&n;']#['progressive Joint Photographic Expert Group']
['プロセスＩＤ']#[['プロセスアイディー']]#100#['&n;']#['process ID']
['プロセスグループＩＤ']#[['プロセスグループアイディー']]#100#['&n;']#['process group ID']
['プロテクティブＭＢＲ']#[['プロテクティブエムビーアー']]#100#['&n;']#['protective MBR']
['ヘイズＡＴコマンド']#[['ヘイズエーティーコマンド']]#100#['&n;']#['Hayes AT command']
['ベースバンドＬＡＮ']#[['ベースバンドラン']]#100#['&n;']#['baseband LAN']
['βテスト']#[['ベータテスト'], ['ベータ・テスト']]#100#['&n;']#['beta test']
['βバージョン']#[['ベータバージョン'], ['ベータ・バージョン']]#100#['&n;']#['beta version']
['ＢＡＳＩＣ']#[['ベーシック']]#100#['&n;']#['BASIC (programming language)']
['ホストＯＳ']#[['ホストオーエス']]#100#['&n;']#['host OS', 'host operating system']
['ポート輻輳']#[['ポートふくそう']]#100#['&n;']#['port congestion']
['ＰＯＳ']#[['ポス'], ['ピーオーエス']]#100#['&n;']#['point of sale', 'POS']
['ＰＯＰ３']#[['ポップスリー']]#100#['&n;']#['POP3 (email protocol)', 'Post Office Protocol 3']
['マスクＲＯＭ']#[['マスクロム']]#100#['&n;']#['mask read-only-memory', 'MROM']
['マルチＴＴハブ']#[['マルチティーティーハブ']]#100#['&n;']#['multiple TT hub']
['マルチタスクＯＳ']#[['マルチタスクオーエス']]#100#['&n;']#['multitasking operation system']
['マルチバンクＤＲＡＭ']#[['マルチバンクディーラム']]#100#['&n;']#['multibank Dynamic Random Access Memory', 'MDRA']
['マルチパスＩＯ']#[['マルチパスアイオー']]#100#['&n;']#['multipath IO']
['マルチワードＤＭＡ']#[['マルチワードディーエムエー']]#100#['&n;']#['multiword Direct Memory Access']
['ミニＤＶＤ']#[['ミニディーブイディー']]#100#['&n;']#['mini DVD']
['メモリマップＩＯ']#[['メモリマップアイオー'], ['メモリマップドアイオー']]#100#['&n;']#['memory-mapped IO', 'MMIO']
['モーションＪＰＥＧ']#[['モーションジェーペッグ']]#100#['&n;']#['motion JPEG']
['モノリシックＩＣ']#[['モノリシックアイシー']]#100#['&n;']#['monolithic IC', 'monolithic integrated circuit']
['ＵＭＡ']#[['ユーエムエー']]#100#['&n;']#['Unlicensed Mobile Access', 'UMA']
['ユーザーＩＤ']#[['ユーザーアイディー']]#100#['&n;']#['user identification', 'user id']
['ＬＡＰＭ']#[['ラップエム']]#100#['&n;']#['Link Access Procedure for Modems', 'LAPM']
['ラップトップＰＣ']#[['ラップトップピーシー']]#100#['&n;']#['laptop PC']
['ＬａＴｅＸ']#[['ラテック'], ['ラテフ']]#100#['&n;']#['LaTeX', {'_': 'document preparation and typesetting system', '$': {'g_type': 'expl'}}]
['ＲＡＭＤＡＣ']#[['ラムダック']]#100#['&n;']#['random-access memory digital-to-analog converter', 'RAMDAC']
['リアルタイムＯＳ']#[['リアルタイムオーエス']]#100#['&n;']#['real-time Operating System']
['リバースＰｒｏｘｙ']#[['リバースプロキシ'], ['リバースプロクシ'], ['リバース・プロキシ'], ['リバース・プロクシ']]#100#['&n;']#['reverse proxy']
['リレーショナルＤＢＭＳ']#[['リレーショナルディービーエムエス']]#100#['&n;']#['relational DBMS', 'RDBMS']
['ルック＆フィール']#[['ルックアンドフィール']]#100#['&n;']#['look and feel (of an application, user interface, etc.)']
['レイヤ２トンネリングプロトコル']#[['レイヤにトンネリングプロトコル']]#100#['&n;']#['layer two tunneling protocol']
['レスポンスＰＤＵ']#[['レスポンスピーディーユー']]#100#['&n;']#['response PDU']
['ロープロファイルＰＣＩ']#[['ロープロファイルピーシーアイ']]#100#['&n;']#['low profile PCI']
['ワイドＬＡＮサービス']#[['ワイドランサービス']]#100#['&n;']#['wide LAN service']
['ワイヤレスＬＡＮ']#[['ワイヤレスラン']]#100#['&n;']#['wireless LAN']
['桁あふれ']#[['けたあふれ']]#100#['&n;']#['overflow']
['ＬＤＬ']#[['エルディーエル']]#100#['&n;']#['Low-density lipoprotein', 'LDL']
['紐パン']#[['ひもパン'], ['ヒモパン']]#100#['&n;']#['string bikini', 'g-string', 'thong']
['ＡＫＹ']#[['エーケイワイ']]#100#['&n;']#['not noticing mood implicit to situations, conversations, etc.']
['叱']#[['しっ']]#100#['&int;']#['shh!', 'sh!', 'shush!']
['叱り']#[['しかり']]#100#['&n;']#['scolding']
['お叱り']#[['おしかり']]#100#['&n;']#['scolding']
['其れと']#[['それと']]#100#['&conj;']#['and then', 'in addition to that', 'also', 'even so']
['麩']#[['ふ']]#100#['&n;']#['wheat gluten (usu. steamed or baked)']
['ＵＮ']#[['ユーエン']]#100#['&n;']#['United Nations', 'UN']
['癤']#[['せつ']]#100#['&n;']#['furuncle']
['こし餡']#[['こしあん']]#100#['&n;']#['strained bean paste', 'smooth anko', 'fine-grained sweet bean paste']
['轂']#[['こしき'], ['こく']]#100#['&n;']#['hub (of a wheel)', 'nave']
['拵え']#[['こしらえ']]#100#['&n;']#['make', 'workmanship', 'preparation']
['皀莢']#[['さいかち'], ['サイカチ']]#100#['&n;']#['honey locust (Gleditsia japonica)']
['ＡＬＴ']#[['エーエルティー']]#100#['&n;']#['assistant language teacher', 'ALT', {'_': 'foreign national serving as an assistant teacher of English in a Japanese classroom', '$': {'g_type': 'expl'}}]
['蜜蓋']#[['みつがい']]#100#['&n;']#['cappings (type of bees wax, beekeeping, apiculture)']
['爺ちゃん']#[['じいちゃん']]#100#['&n;']#['grandfather (may be used after name as honorific)']
['這柏槇']#[['はいびゃくしん'], ['ハイビャクシン']]#100#['&n;']#['dwarf Japanese garden juniper (Juniperus chinensis var. procumbens)']
['シャー芯']#[['シャーしん']]#100#['&n;']#['mechanical pencil lead']
['俺んち']#[['おれんち'], ['オレんち'], ['オレンチ']]#100#['&n;']#['my house']
['ＤＬ']#[['ディーエル']]#100#['&n;']#['download']
['餅いなり']#[['もちいなり']]#100#['&n;']#['sticky rice wrapped in deep-fried tofu']
['箸枕']#[['はしまくら']]#100#['&n;']#['chopstick rest']
['枷蚯蚓']#[['かせみみず']]#100#['&n;']#['Epimenia verrucosa (mollusc)']
['呪り']#[['かしり']]#100#['&n;']#['spell', 'curse']
['旌']#[['せい']]#100#['&n;']#['flag (esp. originally a flagpole-topping streamer made of feathers)']
['幡']#[['ばん']]#100#['&n;']#['pataka (banner)']
['寇']#[['こう']]#100#['&n;']#['invasion', 'invader']
['薨']#[['こう']]#100#['&n;']#['death (of a nobleman, etc.)']
['梱']#[['こり']]#100#['&n;', '&n-suf;', '&ctr;']#['wrapped package', 'bale']
['ころ柿']#[['ころがき']]#100#['&n;']#['dried persimmon']
['アンペラ藺']#[['アンペラい'], ['アンペライ']]#100#['&n;']#['Machaerina rubiginosa (species of tropical sedge)']
['～']#[['にょろ']]#100#['&n;']#['tilde', 'wave dash']
['篊']#[['ひび']]#100#['&n;']#['brushwood, etc. used as cultch for seaweed or oyster farming (culch)']
['咽喉マイク']#[['いんこうマイク']]#100#['&n;']#['throat microphone']
['羌']#[['きょん'], ['キョン']]#100#['&n;']#[\"Reeves's muntjac (Muntiacus reeves, species of barking deer)\", 'Chinese muntjac']
['ＳＩＳ']#[['シス']]#100#['&n;']#['strategic information system (SIS)']
['ビタミンＢ１２']#[['ビタミンビーじゅうに']]#100#['&n;']#['vitamin B12']
['ビタミンＥ']#[['ビタミンイー']]#100#['&n;']#['vitamin E']
['ビタミンＡ']#[['ビタミンエー']]#100#['&n;']#['vitamin A']
['ビタミンＨ']#[['ビタミンエッチ']]#100#['&n;']#['vitamin H']
['ビタミンＭ']#[['ビタミンエム']]#100#['&n;']#['vitamin M']
['ビタミンＬ']#[['ビタミンエル']]#100#['&n;']#['vitamin L (anthranilic acid)']
['ビタミンＫ']#[['ビタミンケー']]#100#['&n;']#['vitamin K']
['ビタミンＣ']#[['ビタミンシー']]#100#['&n;']#['vitamin C']
['ビタミンＤ']#[['ビタミンディー']]#100#['&n;']#['vitamin D']
['ビタミンＰ']#[['ビタミンピー']]#100#['&n;']#['vitamin P', {'_': 'bioflavonoids (as formerly regarded collectively as a vitamin)', '$': {'g_type': 'expl'}}]
['ビタミンＢ１']#[['ビタミンビーいち']]#100#['&n;']#['vitamin B1']
['ビタミンＢ２']#[['ビタミンビーに']]#100#['&n;']#['vitamin B2']
['ビタミンＢ６']#[['ビタミンビーろく']]#100#['&n;']#['vitamin B6']
['ＯＴＣ']#[['オーティーシー']]#100#['&n;']#['over-the-counter drug']
['鴨鍋']#[['かもなべ']]#100#['&n;']#['dish of duck meat cooked with cabbage, spring onions, tofu, etc.']
['燗']#[['かん']]#100#['&n;']#['warming up sake', 'warmed sake']
['あられ餅']#[['あられもち']]#100#['&n;']#['roasted mochi pieces (usu. flavoured with soy sauce, or sweetened with sugar, etc.)']
['なれ鮨']#[['なれずし']]#100#['&n;']#['narezushi', {'_': 'fermented sushi (pickled in brine rather than vinegar), precursor of modern sushi', '$': {'g_type': 'expl'}}]
['お煎']#[['おせん']]#100#['&n;']#['rice cracker', 'senbei', 'Japanese cracker']
['ＦＦＴ']#[['エフエフティー']]#100#['&n;']#['fast Fourier transform', 'FFT']
['ＬＦＧ']#[['エルエフジー']]#100#['&n;']#['lexical-functional grammar', 'LFG']
['鬆']#[['す']]#100#['&n;']#['cavity (in old root vegetables, tofu, metal casting, etc.)', 'pore', 'hollow', 'bubble', 'blowhole']
['妖狐']#[['ようこ']]#100#['&n;']#['fox with supernatural powers']
['鍋つかみ']#[['なべつかみ']]#100#['&n;']#['pot holder', 'oven glove', 'oven mitt']
['狐狗狸さん']#[['こっくりさん'], ['コックリさん']]#100#['&n;']#['kokkuri', {'_': 'divination technique similar to table turning and planchette', '$': {'g_type': 'expl'}}]
['鰻ざく']#[['うざく']]#100#['&n;']#['finely sliced eel and cucumber salad, dressed in sake, soy sauce and vinegar']
['饗']#[['きょう'], ['あえ']]#100#['&n;']#['treating someone (to food or drink)', \"entertaining someone (as one's guest)\"]
['クシメ鏝']#[['クシメごて']]#100#['&n;']#['notched trowel']
['ＲＦ']#[['アールエフ']]#100#['&n;']#['radio frequency', 'RF']
['ＲＦタグ']#[['アールエフタグ']]#100#['&n;']#['RFID tag']
['ＲＦＩＤ']#[['アールエフアイディー']]#100#['&n;']#['RFID (radio frequency identification)']
['ＩＣレコーダー']#[['アイシーレコーダー']]#100#['&n;']#['digital voice recorder', 'field recorder']
['ＤＶＤレコーダー']#[['ディーブイディーレコーダー']]#100#['&n;']#['DVD recorder']
['ＤＶＤプレーヤー']#[['ディーブイディープレーヤー']]#100#['&n;']#['DVD player']
['ＤＶＤオーディオ']#[['ディーブイディーオーディオ']]#100#['&n;']#['DVD-Audio']
['ＤＶＤ-Ｒ']#[['ディーブイディーアール']]#100#['&n;']#['digital versatile disc recordable', 'DVD recordable', 'DVD-R']
['アナル舐め']#[['アナルなめ']]#100#['&n;']#['anilingus', 'analingus', 'rimming', 'rimjob']
['膣痙攣']#[['ちつけいれん']]#100#['&n;']#['vaginismus', 'vaginal spasm']
['咬痙']#[['こうけい']]#100#['&n;']#['lockjaw', 'trismus']
['Ｆナンバー']#[['エフナンバー']]#100#['&n;']#['f-number (photography)']
['ＧＡＢＡ']#[['ギャバ']]#100#['&n;']#['gamma-aminobutyric acid (GABA)']
['ＫＹ']#[['ケーワイ'], ['ケイーワイ'], ['ケイワイ']]#100#['&n;']#['being unable to read the situation', 'being unable to pick up on the mood of a conversation']
['驕り']#[['おごり']]#100#['&n;']#['arrogance', 'haughtiness', 'conceitedness']
['閾']#[['いき']]#100#['&n;']#['threshold', 'limen']
['鏝']#[['こて'], ['コテ']]#100#['&n;']#['flat-iron']
['狡兎']#[['こうと']]#100#['&n;']#['smart rabbit', 'cunning rabbit', 'nimble rabbit']
['ＳＩＭカード']#[['シムカード']]#100#['&n;']#['SIM card']
['すくい綴じ']#[['すくいとじ']]#100#['&n;']#['mattress stitch']
['靫']#[['ゆぎ'], ['ゆき']]#100#['&n;']#['quiver (of arrows; box-shaped)']
['扁爪']#[['ひらづめ']]#100#['&n;']#['nail (e.g. fingernail, toenail)']
['爪の垢']#[['つめのあか']]#100#['&exp;', '&n;']#[\"dirt under one's fingernails\"]
['吻']#[['ふん']]#100#['&n;']#['proboscis']
['梟鸚鵡']#[['ふくろうおうむ'], ['フクロウオウム']]#100#['&n;']#['kakapo (Strigops habroptila)', 'owl parrot']
['ＲＳウイルス']#[['アールエスウイルス']]#100#['&n;']#['RS virus (respiratory syncytial virus)']
['癌ウイルス']#[['がんウイルス']]#100#['&n;']#['oncovirus']
['烏兎']#[['うと']]#100#['&n;']#['sun and moon']
['ＰＢＸ']#[['ピービーエックス']]#100#['&n;']#['Private Branch eXchange', 'PBX']
['ＥＥＰＲＯＭ']#[['イーイープロム']]#100#['&n;']#['electrically erasable programmable read-only memory', 'EEPROM', 'E2PROM']
['ＯＥＭ']#[['オーイーエム']]#100#['&n;']#['original equipment manufacturer', 'OEM']
['ＤＭＡ']#[['ディーエムエー']]#100#['&n;']#['direct memory access', 'DMA']
['ＩＳＤＮ']#[['アイエスディーエン']]#100#['&n;']#['integrated services digital network', 'ISDN']
['ＩＯ']#[['アイオー']]#100#['&n;']#['input-output']
['ＤＢＭＳ']#[['ディービーエムエス']]#100#['&n;']#['database management system', 'DBMS']
