Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['見切る']#[['みきる']]#4#['&v5r;', '&vt;']#['to see everything', 'to see all']
['かち合う']#[['かちあう']]#4#['&v5u;', '&vi;']#['to clash', 'to collide', 'to conflict', 'to coincide']
['切り合う']#[['きりあう']]#4#['&v5u;', '&vi;']#['to fight with swords', 'to cross swords']
['切り苛む']#[['きりさいなむ']]#4#['&v5m;', '&vt;']#['to cut to pieces', 'to torment']
['物言う']#[['ものいう']]#4#['&v5u;', '&vt;']#['to talk', 'to carry meaning']
['開け広げる']#[['あけひろげる']]#4#['&v1;', '&vt;']#['to open wide', 'to reveal hidden contents']
['こね回す']#[['こねまわす']]#4#['&v5s;', '&vt;']#['to knead', 'to mix', 'to complicate', 'to turn into a mess']
['度重なる']#[['たびかさなる']]#4#['&v5r;', '&vi;']#['to repeat', 'to be frequent']
['有り合う']#[['ありあう']]#4#['&v5u;', '&vi;']#['to happen to be present']
['つかみ合う']#[['つかみあう']]#4#['&v5u;', '&vi;']#['to grapple']
['売り切る']#[['うりきる']]#4#['&v5r;', '&vt;']#['to sell out', 'to sell off']
['売り叩く']#[['うりたたく']]#4#['&v5k;', '&vt;']#['to beat down prices']
['売り広める']#[['うりひろめる']]#4#['&v1;', '&vt;']#['to expand a market', 'to find a new market']
['売り急ぐ']#[['うりいそぐ']]#4#['&v5g;', '&vt;']#['to sell in haste']
['売りさばく']#[['うりさばく']]#4#['&v5k;', '&vt;']#['to sell out']
['産気づく']#[['さんけづく']]#4#['&v5k;', '&vi;']#['to go into labor', 'to go into labour']
['言い合わせる']#[['いいあわせる']]#4#['&v1;']#['to agree in advance']
['言い通す']#[['いいとおす']]#4#['&v5s;', '&vt;']#['to persist in saying']
['意味づける']#[['いみづける']]#4#['&v1;', '&vt;']#['to give meaning (to)', 'to assess the significance (of)']
['引っくるめる']#[['ひっくるめる']]#4#['&v1;']#['to take all things together', 'to include everything', 'to take account of everything']
['引き剥ぐ']#[['ひきはぐ']]#4#['&v5g;', '&vt;']#['to tear off']
['引っ剥ぐ']#[['ひっぱぐ']]#4#['&v5g;', '&vt;']#['to tear off']
['引き摺り出す']#[['ひきずりだす']]#4#['&v5s;', '&vt;']#['to drag out']
['引き摺り回す']#[['ひきずりまわす']]#4#['&v5s;', '&vt;']#['to drag around', 'to pull about', 'to lead around (by the nose)']
['洗い上げる']#[['あらいあげる']]#4#['&v1;', '&vt;']#['to finish washing', 'to wash well', 'to investigate thoroughly']
['死に別れる']#[['しにわかれる']]#4#['&v1;', '&vi;']#['to be separated by death']
['死に急ぐ']#[['しにいそぐ']]#4#['&v5g;', '&vi;']#[\"to hasten one's death\"]
['死に後れる']#[['しにおくれる']]#4#['&v1;', '&vi;']#['to outlive']
['待ち明かす']#[['まちあかす']]#4#['&v5s;', '&vt;']#['to wait all night']
['待ちあぐむ']#[['まちあぐむ']]#4#['&v5m;', '&vt;']#['to tire of waiting']
['持って回る']#[['もってまわる']]#4#['&exp;', '&v5r;']#['to carry around']
['まかり通る']#[['まかりとおる']]#4#['&v5r;', '&vi;']#['to go unpunished', 'to be tolerated', 'to be allowed', 'to be overlooked']
['出し切る']#[['だしきる']]#4#['&v5r;', '&vt;']#[\"to use up (all one's strength, ideas, etc.)\", 'to exert oneself', \"to do one's best\"]
['気色ばむ']#[['けしきばむ']]#4#['&v5m;', '&vi;']#['to grow angry', \"to display one's anger\"]
['心ゆく']#[['こころゆく']]#4#['&v5k-s;', '&vi;']#['to be completely satisfied', 'to be completely contented']
['説き分ける']#[['ときわける']]#4#['&v1;', '&vt;']#['to explain carefully or by making distinctions']
['説きつける']#[['ときつける']]#4#['&v1;', '&vt;']#['to persuade']
['説き起こす']#[['ときおこす']]#4#['&v5s;', '&vi;']#['to begin an explanation (argument, story, etc.)']
['綴り合わせる']#[['つづりあわせる']]#4#['&v1;', '&vt;']#['to bind together']
['はぎ合わせる']#[['はぎあわせる']]#4#['&v1;', '&vt;']#['to join together (wooden boards, etc.)', 'to patch together (pieces of cloth, etc.)', 'to glue together']
['こき使う']#[['こきつかう']]#4#['&v5u;', '&vt;']#['to work (someone) hard', 'to push (someone) around']
['仕立て上げる']#[['したてあげる']]#4#['&v1;', '&vt;']#['to make out to be', 'to set someone up (as)', 'to prepare (e.g. someone for a role)', 'to make (e.g. \"a man out of him\")', 'to frame']
['色づく']#[['いろづく']]#4#['&v5k;', '&vi;']#['to change color (esp. leaves, fruit, flowers) (colour)']
['色めき立つ']#[['いろめきたつ']]#4#['&v5t;', '&vi;']#['to become excited', 'to grow lively']
['貸し下げる']#[['かしさげる']]#4#['&v1;', '&vt;']#['to lend', 'to loan']
['貸し切る']#[['かしきる']]#4#['&v5r;', '&vt;']#['to reserve (for exclusive use)', 'to charter', 'to book']
['思い入る']#[['おもいいる']]#4#['&v5r;']#['to ponder', 'to contemplate']
['思い合う']#[['おもいあう']]#4#['&v5u;', '&vi;']#['to love one another']
['思い合わせる']#[['おもいあわせる']]#4#['&v1;', '&vt;']#['to consider (all the circumstances)', 'to bear (a number of things) in mind']
['思い回す']#[['おもいまわす']]#4#['&v5s;', '&vt;']#['to ponder', 'to recall']
['思いやる']#[['おもいやる']]#4#['&v5r;', '&vt;']#['to sympathize with', 'to sympathise with', 'to feel for', 'to be considerate of', 'to show consideration for', 'to bear in mind']
['生まれ合わせる']#[['うまれあわせる']]#4#['&v1;', '&vi;']#['to happen to be born (at a certain time)']
['かき口説く']#[['かきくどく']]#4#['&v5k;', '&vi;']#['to complain', 'to pester', 'to plead', 'to beg']
['掻き切る']#[['かききる']]#4#['&v5r;', '&vt;']#['to cut', 'to slit']
['かき起こす']#[['かきおこす']]#4#['&v5s;', '&vt;']#['to stir up (e.g. a fire)']
['立て切る']#[['たてきる']]#4#['&v5r;', '&vt;']#['to close tight']
['立ち合う']#[['たちあう']]#4#['&v5u;', '&vi;']#['to be matched against (in a sports contest)']
['立ち働く']#[['たちはたらく']]#4#['&v5k;', '&vi;']#['to be busy at work', 'to work diligently']
['食い切る']#[['くいきる']]#4#['&v5r;', '&vt;']#['to bite through']
['食い合う']#[['くいあう']]#4#['&v5u;', '&vi;']#['to bite each other']
['質に入れる']#[['しちにいれる']]#4#['&exp;', '&v1;']#['to pawn', 'to pledge']
['死して後已む']#[['ししてのちやむ']]#4#['&exp;', '&v5m;']#['to be determined to do or die', 'to never give up until one is dead']
['食が進む']#[['しょくがすすむ']]#4#['&exp;', '&v5m;']#['to have a good appetite']
['旅する']#[['たびする']]#4#['&vs-i;']#['to travel', 'to take a trip']
['ウマが合う']#[['ウマがあう'], ['うまがあう']]#4#['&exp;', '&v5u;']#['to get on well (with a person)', {'_': \"to be a good match with one's horse (e.g. of a rider)\", '$': {'g_type': 'lit'}}]
['私する']#[['わたくしする']]#4#['&vs-i;', '&vt;']#['to use (public property) for personal purposes', \"to use (e.g. politics) for one's own ends\", 'to misappropriate (public money)', 'to appropriate', 'to embezzle']
['野に下る']#[['やにくだる']]#4#['&exp;', '&v5r;']#['to leave the government service']
['図に乗る']#[['ずにのる']]#4#['&exp;', '&v5r;']#['to get carried away', 'to become over-excited', \"to push one's luck\", 'to push a good thing too far']
['家を建てる']#[['いえをたてる']]#4#['&exp;', '&v1;']#['to build a house']
['間を開ける']#[['まをあける'], ['あいだをあける']]#4#['&exp;', '&v1;']#['to leave space (between)']
['明るみに出す']#[['あかるみにだす']]#4#['&exp;', '&v5s;']#['to make public', 'to bring to light']
['悪事を働く']#[['あくじをはたらく']]#4#['&exp;', '&v5k;']#['to commit a crime', 'to do evil']
['足を洗う']#[['あしをあらう']]#4#['&exp;', '&v5u;']#['to quit (a shady business)', \"to wash one's hands of\", \"to cut one's ties with\", 'to turn over a new leaf', 'to go straight']
['味わい知る']#[['あじわいしる']]#4#['&v5r;']#['to taste and know']
['頭に入れる']#[['あたまにいれる']]#4#['&exp;', '&v1;']#['to keep in mind', 'to memorize']
['頭を下げる']#[['あたまをさげる']]#4#['&exp;', '&v1;']#['to bow', \"to bow one's head\"]
['意見を言う']#[['いけんをいう']]#4#['&exp;', '&v5u;']#[\"to state one's opinion\"]
['意見を持つ']#[['いけんをもつ']]#4#['&exp;', '&v5t;']#['to hold an opinion']
['一字空ける']#[['いちじあける']]#4#['&v1;']#['to leave a space (between words)']
['一服飲む']#[['いっぷくのむ']]#4#['&v5m;']#['to have a smoke']
['一歩下がる']#[['いっぽさがる']]#4#['&exp;', '&v5r;']#['to take a step backward']
['意味を捉える']#[['いみをとらえる']]#4#['&exp;', '&v1;']#['to grasp the meaning']
['駅に止まる']#[['えきにとまる']]#4#['&exp;', '&v5r;']#['to stop at a (train) station']
['大声を出す']#[['おおごえをだす']]#4#['&exp;', '&v5s;']#[\"to raise one's voice\", 'to shout']
['おっ始める']#[['おっぱじめる']]#4#['&v1;', '&vt;']#['to start', 'to begin', 'to commence']
['音に聞く']#[['おとにきく']]#4#['&exp;', '&v5k;']#['to be widely known', 'to be famous']
['音を出す']#[['おとをだす']]#4#['&exp;', '&v5s;']#['to produce a sound']
['重く用いる']#[['おもくもちいる']]#4#['&exp;', '&v1;']#['to give an important position']
['親に叛く']#[['おやにそむく']]#4#['&exp;', '&v5k;']#[\"to disobey one's parents\"]
['女の味を知る']#[['おんなのあじをしる']]#4#['&exp;', '&v5r;']#['to have carnal knowledge (of a woman)']
['会社を起こす']#[['かいしゃをおこす']]#4#['&exp;', '&v5s;']#['to set up a company']
['回を重ねる']#[['かいをかさねる']]#4#['&exp;', '&v1;']#['to advance (as of a baseball game)', 'to repeat']
['帰って来る']#[['かえってくる']]#4#['&exp;', '&vk;']#['to return', 'to come back']
['顔が立つ']#[['かおがたつ']]#4#['&exp;', '&v5t;']#[\"to save one's face\", \"to maintain one's status\"]
['顔を赤らめる']#[['かおをあからめる']]#4#['&exp;', '&v1;']#['to blush', 'to go red in the face', 'to change color', 'to change colour']
['顔を上げる']#[['かおをあげる']]#4#['&exp;', '&v1;']#[\"to raise one's face\", \"to lift one's head\", \"to raise one's eyes\"]
['顔を潰される']#[['かおをつぶされる']]#4#['&exp;', '&v1;']#['to lose face', 'to be put out of countenance']
['書き起こす']#[['かきおこす']]#4#['&v5s;', '&vt;']#['to start writing', 'to begin (a book, letter, etc.)']
['風に乗る']#[['かぜにのる']]#4#['&exp;', '&v5r;']#['to ride upon the winds']
['鼎の軽重を問う']#[['かなえのけいちょうをとう']]#4#['&exp;', '&v5u-s;']#[\"to call one's ability into question\", \"to weigh one's ability\"]
['体が休まる']#[['からだがやすまる']]#4#['&exp;', '&v5r;']#['to be (feel) rested']
['体によく合う']#[['からだによくあう']]#4#['&exp;', '&v5u;']#['to fit well (e.g. clothes)']
['水を引く']#[['みずをひく']]#4#['&exp;', '&v5k;']#['to draw water (e.g. from a river)', 'to lead water to (e.g. a field, a pond)', 'to supply water to', 'to irrigate']
['学者ぶる']#[['がくしゃぶる']]#4#['&exp;', '&v5r;']#['to be pedantic', 'to assume the air of a scholar']
['切手を溜める']#[['きってをためる']]#4#['&exp;', '&v1;']#['to collect stamps']
['薬をつける']#[['くすりをつける']]#4#['&exp;', '&v1;']#['to apply medicine']
['口に合う']#[['くちにあう']]#4#['&exp;', '&v5u;']#['to be palatable', \"to suit one's taste\"]
['国を売る']#[['くにをうる']]#4#['&exp;', '&v5r;']#[\"to betray one's country (to an enemy)\"]
['首を揃える']#[['くびをそろえる']]#4#['&exp;', '&v1;']#['to get together']
['暗い気持ちになる']#[['くらいきもちになる']]#4#['&exp;', '&v5r;']#['to feel gloomy', 'to feel blue', 'to feel melancholy']
['車を転がす']#[['くるまをころがす']]#4#['&exp;', '&v5s;']#['to drive a car']
['計画を進める']#[['けいかくをすすめる']]#4#['&exp;', '&v1;']#['to carry a plan forward']
['計画を立てる']#[['けいかくをたてる']]#4#['&exp;', '&v1;']#['to make plans']
['元気づく']#[['げんきづく']]#4#['&v5k;', '&vi;']#['to get encouraged', 'to become heightened in spirits', \"to recover one's strength\"]
['工事を進める']#[['こうじをすすめる']]#4#['&exp;', '&v1;']#['to advance construction', 'to proceed with construction']
['校を重ねる']#[['こうをかさねる']]#4#['&exp;', '&v1;']#['to proofread again and again']
['声がかすれる']#[['こえがかすれる']]#4#['&exp;', '&v1;']#['to become hoarse']
['声を上げる']#[['こえをあげる']]#4#['&exp;', '&v1;']#[\"to raise one's voice\", 'to shout', 'to yell']
['心にかかる']#[['こころにかかる']]#4#['&exp;', '&v5r;']#[\"to weigh on one's mind\", 'to trouble one']
['心を動かされる']#[['こころをうごかされる']]#4#['&exp;', '&v1;']#['to be moved by', 'to be touched by']
['心を動かす']#[['こころをうごかす']]#4#['&exp;', '&v5s;']#['to impress', \"to move one's heart\", \"to touch (a person's heart)\"]
['事を起こす']#[['ことをおこす']]#4#['&exp;', '&v5s;']#['to cause trouble', 'to cause a disturbance']
['事を運ぶ']#[['ことをはこぶ']]#4#['&exp;', '&v5b;']#['to go ahead', 'to proceed', 'to carry on']
['語気を弱める']#[['ごきをよわめる']]#4#['&exp;', '&v1;']#[\"to soften one's voice\"]
['語を強める']#[['ごをつよめる']]#4#['&exp;', '&v1;']#['to put stress on a word']
['先に通す']#[['さきにとおす']]#4#['&exp;', '&v5s;']#['to let (a person) pass first']
['試験ではねられる']#[['しけんではねられる']]#4#['&exp;', '&v1;']#['to get flunked in an examination']
['仕事を上げる']#[['しごとをあげる']]#4#['&exp;', '&v1;']#['to finish the work']
['死者を生かす']#[['ししゃをいかす']]#4#['&exp;', '&v5s;']#['to revive the dead']
['質問に答える']#[['しつもんにこたえる']]#4#['&exp;', '&v1;']#['to answer a question']
['室を出る']#[['しつをでる']]#4#['&exp;', '&v1;']#['to leave the room']
['写真を写す']#[['しゃしんをうつす']]#4#['&exp;', '&v5s;']#['to photograph', 'to take a picture']
['小説を書く']#[['しょうせつをかく']]#4#['&exp;', '&v5k;']#['to write a novel']
['知ろしめす']#[['しろしめす']]#4#['&v5s;']#['to know', 'to reign']
['真で書く']#[['しんでかく']]#4#['&v5k;']#['to write in the square style']
['心を入れる']#[['こころをいれる']]#4#['&exp;', '&v1;']#[\"to put one's heart into\", 'to devote oneself to']
['道を開く']#[['みちをひらく']]#4#['&exp;', '&v5k;']#['to open up a path', 'to clear a path']
['上進']#[['じょうしん']]#4#['&n;', '&vs;']#['progress', 'advance']
['上品ぶる']#[['じょうひんぶる']]#4#['&v5r;']#['to give oneself airs', 'to be prudish']
['脛に疵持つ']#[['すねにきずもつ']]#4#['&exp;', '&v5t;']#['to have a guilty conscience']
['生計を立てる']#[['せいけいをたてる']]#4#['&exp;', '&v1;']#['to make a living']
['説を立てる']#[['せつをたてる']]#4#['&exp;', '&v1;']#['to put forward a theory']
['たかが知れている']#[['たかがしれている']]#4#['&exp;', '&v1;']#['to not amount to much']
['タバコを止める']#[['タバコをやめる'], ['たばこをやめる']]#4#['&exp;', '&v1;']#['to give up smoking', 'to stop smoking']
['大学へ進む']#[['だいがくへすすむ']]#4#['&exp;', '&v5m;']#[\"to continue one's studies up to university\", 'to go to university']
['力を注ぐ']#[['ちからをそそぐ']]#4#['&exp;', '&v5g;']#[\"to concentrate one's effort (on something)\"]
['力を試す']#[['ちからをためす']]#4#['&exp;', '&v5s;']#[\"to try one's strength\"]
['注意を注ぐ']#[['ちゅういをそそぐ']]#4#['&exp;', '&v5g;']#['to pay attention']
['注意をそらす']#[['ちゅういをそらす']]#4#['&exp;', '&v5s;']#[\"to distract one's attention\"]
['朝食を出す']#[['ちょうしょくをだす']]#4#['&exp;', '&v5s;']#['to serve breakfast']
['使いにやる']#[['つかいにやる']]#4#['&exp;', '&v5r;']#['to send a person on an errand']
['使いをやる']#[['つかいをやる']]#4#['&exp;', '&v5r;']#['to send a messenger']
['土に帰る']#[['つちにかえる']]#4#['&exp;', '&v5r;']#['to die']
['手紙を宛てる']#[['てがみをあてる']]#4#['&exp;', '&v1;']#['to address (direct) a letter to a person']
['手紙を出す']#[['てがみをだす']]#4#['&exp;', '&v5s;']#['to mail a letter']
['手を引く']#[['てをひく']]#4#['&exp;', '&v5k;']#['to withdraw from (a deal)', \"to wash one's hands of\"]
['電話を引く']#[['でんわをひく']]#4#['&exp;', '&v5k;']#['to install a telephone']
['時を待つ']#[['ときをまつ']]#4#['&exp;', '&v5t;']#['to wait for a favorable chance', 'to wait for a favourable chance']
['度を重ねる']#[['どをかさねる']]#4#['&exp;', '&v1;']#['to repeat']
['名を売る']#[['なをうる']]#4#['&exp;', '&v5r;']#['to gain a reputation', 'to make oneself famous']
['花を引く']#[['はなをひく']]#4#['&exp;', '&v5k;']#['to play hanafuda']
['花を持たせる']#[['はなをもたせる']]#4#['&exp;', '&v1;']#['to let someone have the credit for (a success)', {'_': 'to let someone else carry the flowers', '$': {'g_type': 'lit'}}]
['貼り合わせる']#[['はりあわせる']]#4#['&v1;']#['to paste together']
['春を売る']#[['はるをうる']]#4#['&exp;', '&v5r;']#['to be a prostitute', 'to work as a prostitute', 'to sell sexual services']
['光を通す']#[['ひかりをとおす']]#4#['&exp;', '&v5s;']#['to allow light to pass through', 'to shine light through']
['人の頭に立つ']#[['ひとのかしらにたつ']]#4#['&exp;', '&v5t;']#['to stand at the head of others']
['火を通す']#[['ひをとおす']]#4#['&exp;', '&v5s;']#['to cook', 'to heat']
['病気にかかる']#[['びょうきにかかる']]#4#['&exp;', '&v5r;']#['to contract a disease']
['病気になる']#[['びょうきになる']]#4#['&exp;', '&v5r;']#['to fall ill', 'to be taken ill']
['冬めく']#[['ふゆめく']]#4#['&v5k;', '&vi;']#['to become wintry']
['文を以て立つ']#[['ぶんをもってたつ']]#4#['&exp;', '&v5t;']#['to live by the pen']
['便を図る']#[['べんをはかる']]#4#['&exp;', '&v5r;']#['to provide facilities', 'to administer to the convenience of']
['歩を進める']#[['ほをすすめる']]#4#['&exp;', '&v1;']#['to walk', 'to move forward']
['本を広げる']#[['ほんをひろげる']]#4#['&exp;', '&v1;']#['to open a book']
['待ちくたびれる']#[['まちくたびれる']]#4#['&v1;']#['to get tired of waiting']
['町を通る']#[['まちをとおる']]#4#['&exp;', '&v5r;']#['to pass through town']
['短すぎる']#[['みじかすぎる']]#4#['&v1;']#['to be too short']
['店を開く']#[['みせをひらく']]#4#['&exp;', '&v5k;']#['to open a business']
['道を急ぐ']#[['みちをいそぐ']]#4#['&exp;', '&v5g;']#[\"to hurry on one's way\"]
['道を切り開く']#[['みちをきりひらく']]#4#['&exp;', '&v5k;']#['to open a path']
['飯を食う']#[['めしをくう']]#4#['&exp;', '&v5u;']#['to have a meal', 'to eat']
['本を正す']#[['もとをただす']]#4#['&exp;', '&v5s;']#['to go to the bottom of an affair', 'to inquire into the origin']
['物になる']#[['ものになる']]#4#['&exp;', '&v5r;']#['to prove successful', 'to take hold', 'to amount to something']
['野にある']#[['やにある']]#4#['&exp;', '&v5r-i;']#['to be in opposition', 'to be in private life']
['病膏肓に入る']#[['やまいこうこうにいる'], ['やまいこうもうにいる']]#4#['&exp;', '&v5r;']#['to become seriously ill', 'to catch an incurable illness']
['止めになる']#[['やめになる']]#4#['&exp;', '&v5r;']#['to be given up', 'to be discontinued']
['用意にかかる']#[['よういにかかる']]#4#['&exp;', '&v5r;']#['to set about preparations']
['用がある']#[['ようがある']]#4#['&exp;', '&v5r-i;']#['to have (urgent) business', 'to have something one needs to attend to', 'to have something one wants to say (to someone)']
['用に立つ']#[['ようにたつ']]#4#['&exp;', '&v5t;']#['to be of use (service)']
['用を足す']#[['ようをたす']]#4#['&exp;', '&v5s;']#['to take care of some business', 'to go on an errand']
['読み終わる']#[['よみおわる']]#4#['&v5r;']#['to finish reading', 'to read through']
['力んで見せる']#[['りきんでみせる']]#4#['&v1;']#['to show a bold front']
['開梱']#[['かいこん']]#4#['&n;', '&vs;']#['open (as of a pack)']
['進ぜる']#[['しんぜる']]#4#['&v1;', '&vt;']#['to give', 'to present', 'to offer']
['進ずる']#[['しんずる']]#4#['&vz;', '&vt;']#['to give', 'to present', 'to offer']
['強がる']#[['つよがる']]#4#['&v5r;', '&vi;']#['to pretend to be tough', 'to put on a brave front', 'to whistle in the dark', 'to bluff']
['ご注文']#[['ごちゅうもん']]#4#['&n;', '&vs;']#['order', 'request']
['兄弟喧嘩']#[['きょうだいげんか']]#4#['&n;', '&vs;']#['quarrel between brothers']
['姉妹喧嘩']#[['きょうだいげんか']]#4#['&n;', '&vs;']#['quarrel between sisters']
['お世話をする']#[['おせわをする']]#4#['&exp;', '&vs-i;']#['to take care of']
['建学']#[['けんがく']]#4#['&n;', '&vs;']#['foundation of a school']
['合コン']#[['ごうコン']]#4#['&n;', '&vs;']#['joint party (e.g. by students from several colleges)', 'combined party', 'mixer', 'two or more groups, esp. female and male students, combining for a party']
['山歩き']#[['やまあるき']]#4#['&n;', '&vs;']#['mountain-walking', 'hiking']
['習合']#[['しゅうごう']]#4#['&n;', '&vs;']#['syncretism']
['転貸借']#[['てんたいしゃく']]#4#['&n;', '&vs;']#['subletting and subleasing']
['頓服']#[['とんぷく']]#4#['&n;', '&vs;']#['dose of medicine to be taken only once']
['服する']#[['ふくする']]#4#['&vs-s;', '&vi;']#['to obey', 'to submit to', 'to yield to', 'to accept', 'to abide by']
['発問']#[['はつもん']]#4#['&n;', '&vs;']#['asking or putting a question', 'questioning']
['テープを切る']#[['テープをきる']]#4#['&exp;', '&v5r;']#['to break the tape (at the finishing line)', 'to breast the tape']
['烏有に帰す']#[['うゆうにきす']]#4#['&exp;', '&v5s;']#['to be burned to ashes', 'to come to nothing']
['開所']#[['かいしょ']]#4#['&n;', '&vs;']#['opening (of a new office, facility, etc.)']
['先を急ぐ']#[['さきをいそぐ']]#4#['&exp;', '&v5g;']#['to hurry', 'to hasten']
['いがみ合う']#[['いがみあう']]#4#['&v5u;', '&vi;']#['to snarl (at each other)', 'to growl (angrily)']
['題する']#[['だいする']]#4#['&vs-s;']#['to be titled (e.g. a book)', 'to be named']
['通ずる']#[['つうずる']]#4#['&vz;', '&vi;']#['to be open (to traffic)', 'to lead to', 'to communicate (with)']
['通電']#[['つうでん']]#4#['&n;', '&vs;']#['the passage of electric current']
['ワン切り']#[['ワンぎり'], ['ワンギリ']]#4#['&n;', '&vs;']#['one-ring hang-up call (to receive a call back, oft. for scams)', 'missed call for exchanging phone numbers', 'wangiri']
['闡明']#[['せんめい']]#4#['&n;', '&vs;']#['clarification', 'elucidation', 'explanation']
['分別ゴミ']#[['ふんべつゴミ']]#4#['&n;', '&vs;']#['dividing up rubbish into burnable and non-burnable']
['抉じ開ける']#[['こじあける']]#4#['&v1;', '&vt;']#['to wrench open', 'to prize open', 'to pick (lock)']
['待たす']#[['またす']]#4#['&v5s;', '&vt;']#['to keep (a person) waiting']
['犇めき合う']#[['ひしめきあう']]#4#['&v5u;']#['to crowd together in a confined space', 'to gather and make a commotion']
['ぶっ千切る']#[['ぶっちぎる']]#4#['&v5r;', '&vt;']#['to beat by a wide margin (in a race)']
['注力']#[['ちゅうりょく']]#4#['&n;', '&vs;']#[\"pouring one's energy into\", \"focusing one's efforts on\", 'concentrating on', 'committing oneself to']
['歌いまくる']#[['うたいまくる']]#4#['&v5r;']#['to sing energetically', 'to sing with abandon']
['空で歌う']#[['そらでうたう']]#4#['&exp;', '&v5u;']#['to sing from memory']
['思う壺にはまる']#[['おもうつぼにはまる']]#4#['&exp;', '&v5r;']#['to turn out just as one wished', 'to play into the hands (of)']
['試走']#[['しそう']]#4#['&n;', '&vs;']#['test drive', 'trial run']
['急かせる']#[['せかせる']]#4#['&v1;', '&vt;']#['to hurry (up)', 'to urge on', 'to press', 'to rush']
['ちょん切る']#[['ちょんぎる']]#4#['&v5r;', '&vt;']#['to chop off', 'to snip off', 'to cut off (e.g. a conversation)']
['働かす']#[['はたらかす']]#4#['&v5s;', '&vt;']#['to put someone to work', 'to make someone work']
['働かせる']#[['はたらかせる']]#4#['&v1;']#['to put someone to work', 'to make someone work']
['急がせる']#[['いそがせる']]#4#['&v1;']#['to hasten (the work)', 'to urge (a person) on']
['急く']#[['せく']]#4#['&v5k;', '&vi;']#['to hurry', 'to rush']
['軽んずる']#[['かろんずる']]#4#['&vz;', '&vt;']#['to despise', 'to belittle', 'to look down on']
['持する']#[['じする']]#4#['&vs-s;']#['to hold', 'to maintain']
['秋めく']#[['あきめく']]#4#['&v5k;', '&vi;']#['to become autumnal']
['走り出る']#[['はしりでる']]#4#['&v1;']#['to run out (e.g. of the room)']
['知らす']#[['しらす']]#4#['&v5s;']#['to inform', 'to notify']
['溺れ死ぬ']#[['おぼれじぬ']]#4#['&v5n;', '&vi;']#['to die by drowning', 'to drown']
['動き出す']#[['うごきだす']]#4#['&v5s;']#['to come alive', 'to get going', 'to start to move']
['売り買い']#[['うりかい']]#4#['&n;', '&vs;']#['trade', 'buying and selling']
['行き始める']#[['いきはじめる']]#4#['&v1;']#['to get going', 'to start off']
['使い出す']#[['つかいだす']]#4#['&v5s;']#['to start using', 'to try out']
['回りだす']#[['まわりだす']]#4#['&v5s;']#['to begin to turn']
['働き出す']#[['はたらきだす']]#4#['&v5s;']#['to start working', 'to take action']
['正気づく']#[['しょうきづく']]#4#['&v5k;']#['to become conscious', \"to recover one's senses\", 'to snap out of it']
['電着']#[['でんちゃく']]#4#['&n;', '&vs;']#['electrodeposition']
['用が足せる']#[['ようがたせる']]#4#['&exp;', '&v1;']#['to make oneself understood (in some language)']
['業とする']#[['ぎょうとする']]#4#['&exp;', '&vs-i;']#['to work as', 'to pursue as a vocation']
['同梱']#[['どうこん']]#4#['&n;', '&vs;', '&adj-no;']#['including (in a package)', 'packing together with']
['場所入']#[['ばしょいり']]#4#['&n;', '&vs;']#['arrival of the wrestlers to the tournament venue']
['青光り']#[['あおびかり']]#4#['&n;', '&vs;']#['bluish sheen', 'steel-blue sheen']
['通紙']#[['つうし']]#4#['&n;', '&vs;']#['feeding paper through a device (printer, scanner, etc.)']
['中心となる']#[['ちゅうしんとなる']]#4#['&exp;', '&v5r;']#['to play a central role', 'to take a leading part']
['大きな顔をする']#[['おおきなかおをする']]#4#['&exp;', '&vs-i;']#['to look as if one is important', 'to swagger around']
['足元を見る']#[['あしもとをみる']]#4#['&exp;', '&v1;']#['to take advantage (e.g. of a weak situation)', 'to size up (e.g. customer when setting a high price)']
['足元をすくう']#[['あしもとをすくう']]#4#['&exp;', '&v5u;']#['to trip someone up', 'to pull the carpet from under']
['痺れを切らす']#[['しびれをきらす']]#4#['&exp;', '&v5s;']#['to get tired of waiting', 'to grow impatient']
['切りすぎる']#[['きりすぎる']]#4#['&v1;']#['to overcut']
['人心一新']#[['じんしんいっしん']]#4#['&n;', '&vs;']#['complete change in public sentiment', 'leading the thought of the people to an entirely different channel']
['叩き合う']#[['たたきあう']]#4#['&v5u;']#['to strike (each other)', 'to come to blows', 'to fight (each other)']
['声を出す']#[['こえをだす']]#4#['&exp;', '&v5s;']#['to speak', 'to say', 'to vocalize']
['夜が明ける']#[['よがあける']]#4#['&exp;', '&v1;']#['dawn breaks', 'day dawns']
['起き出す']#[['おきだす']]#4#['&exp;', '&v5s;']#['to get out of bed', 'to show a leg']
['暑がる']#[['あつがる']]#4#['&v5r;', '&vi;']#['to feel the heat', 'to suffer from the heat', 'to complain of the heat', 'to swelter']
['洗い去る']#[['あらいさる']]#4#['&v5r;']#['to wash away']
['言い終わる']#[['いいおわる']]#4#['&v5r;']#['to finish speaking']
['映じる']#[['えいじる']]#4#['&v1;', '&vi;']#['to be reflected (in)', 'to be mirrored (in)']
['乗す']#[['のす']]#4#['&v5s;', '&vt;']#['to place on (something)', 'to take on board', 'to give a ride to']
