Kanji#Reading#JLPT#Type#Meaning
['明白']#[['めいはく']]#4#['&adj-na;']#['obvious', 'clear', 'plain', 'evident', 'apparent', 'explicit', 'overt']
['品行方正']#[['ひんこうほうせい']]#4#['&adj-na;', '&adj-no;', '&n;']#['irreproachable conduct', 'good conduct', 'high morals']
['木質']#[['もくしつ']]#4#['&n;', '&adj-no;']#['woody', 'ligneous']
['目早い']#[['めばやい']]#4#['&adj-i;']#['sharp-eyed']
['耳遠い']#[['みみどおい']]#4#['&adj-i;']#['hard of hearing']
['事新しい']#[['ことあたらしい']]#4#['&adj-i;']#['unprecedented', 'new (and different)', 'fresh']
['色黒']#[['いろぐろ']]#4#['&adj-na;', '&adj-no;', '&n;']#['swarthy', 'dark-skinned']
['問題外']#[['もんだいがい']]#4#['&adj-no;', '&adj-na;']#['out of the question', 'unthinkable', 'impossible']
['思いのほか']#[['おもいのほか']]#4#['&adv;', '&adj-no;']#['unexpectedly', 'surprisingly']
['思わせぶり']#[['おもわせぶり']]#4#['&adj-na;']#['significant', 'suggestive', 'insinuating', 'meaningful']
['肉質']#[['にくしつ']]#4#['&n;', '&adj-no;']#['fleshiness']
['赤黒い']#[['あかぐろい']]#4#['&adj-i;']#['dark red', 'dark brown', 'reddish brown']
['天体写真']#[['てんたいしゃしん']]#4#['&n;', '&adj-no;']#['photograph of an astral body']
['いい気味']#[['いいきみ'], ['いいきび']]#4#['&n;', '&adj-na;']#['it serves you (him) right', \"it's what you (he) deserves\"]
['食道楽']#[['しょくどうらく'], ['くいどうらく']]#4#['&n;', '&adj-no;']#['gourmand', 'epicure']
['風光明媚']#[['ふうこうめいび']]#4#['&adj-na;', '&adj-no;', '&n;']#['scenic', 'beautiful', 'picturesque']
['早生まれ']#[['はやうまれ']]#4#['&n;', '&adj-no;']#['being born between January 1 and April 1 (school entrance date)']
['ぶどう色']#[['ぶどういろ']]#4#['&n;', '&adj-no;']#['dark purple', 'grape (colour)']
['世間知らず']#[['せけんしらず']]#4#['&adj-no;', '&adj-na;', '&n;']#['ignorant of the ways of the world']
['言い知れぬ']#[['いいしれぬ']]#4#['&adj-pn;']#['indescribable', 'inexpressible']
['意地ずく']#[['いじずく'], ['いじづく']]#4#['&n;', '&adj-na;']#['obstinacy', 'stubbornness']
['心ある']#[['こころある']]#4#['&adj-pn;']#['thoughtful', 'considerate', 'kind']
['思いもよらない']#[['おもいもよらない']]#4#['&exp;', '&adj-i;']#['unexpected', 'unforeseen', 'inconceivable']
['先住']#[['せんじゅう']]#4#['&n;', '&adj-no;']#['original inhabitant', 'aboriginal']
['真の']#[['しんの']]#4#['&adj-f;']#['true', 'real', 'genuine', 'proper', 'utter']
['物わかりのいい']#[['ものわかりのいい'], ['ものわかりのよい']]#4#['&exp;', '&adj-ix;']#['sensible', 'perceptive', 'quick to understand', 'understanding', 'sympathetic']
['頭が悪い']#[['あたまがわるい']]#4#['&exp;', '&adj-i;']#['slow', 'weak-headed', 'dumb']
['頭のいい']#[['あたまのいい'], ['あたまのよい']]#4#['&exp;', '&adj-ix;']#['bright', 'intelligent']
['意味が通らない']#[['いみがとおらない']]#4#['&adj-i;']#['incomprehensible', 'not making sense']
['動かしがたい']#[['うごかしがたい']]#4#['&adj-i;']#['unshakable', 'immovable', 'undeniable']
['顔の広い']#[['かおのひろい']]#4#['&adj-i;']#['well known', 'well connected']
['体が強い']#[['からだがつよい']]#4#['&exp;', '&adj-i;']#['in good shape', 'strongly built', 'in good health', 'having a strong constitution']
['考えられない']#[['かんがえられない']]#4#['&adj-i;']#['unthinkable', 'unimaginable']
['ガラの悪い']#[['ガラのわるい'], ['がらのわるい']]#4#['&adj-i;']#['ill-bred', 'vulgar', 'boorish']
['気乗りしない']#[['きのりしない']]#4#['&adj-i;']#['indisposed', 'halfhearted']
['切れが悪い']#[['きれがわるい']]#4#['&exp;', '&adj-i;']#['thick', 'dull (blunt)', 'viscous']
['品がいい']#[['ひんがいい'], ['ひんがよい']]#4#['&exp;', '&adj-ix;']#['refined', 'genteel', 'graceful', 'decent']
['使いものにならない']#[['つかいものにならない']]#4#['&exp;', '&adj-i;']#['no use', 'useless', 'not fit for its purpose']
['ど真ん中']#[['どまんなか'], ['ドまんなか']]#4#['&n;', '&adj-no;']#['right in the center (centre)']
['広広とした']#[['ひろびろとした']]#4#['&adj-f;']#['open', 'spacious', 'extensive']
['病気がち']#[['びょうきがち']]#4#['&n;', '&adj-na;', '&adj-no;']#['proneness to being ill', 'being sick a lot', 'proneness to disease']
['回りくどい']#[['まわりくどい']]#4#['&adj-i;']#['circuitous', 'roundabout', 'indirect']
['水を通さない']#[['みずをとおさない']]#4#['&exp;', '&adj-i;']#['impervious to water']
['目が悪い']#[['めがわるい']]#4#['&exp;', '&adj-i;']#['having poor eyesight']
['飯が食えない']#[['めしがくえない']]#4#['&exp;', '&adj-i;']#['cannot make a living']
['目に悪い']#[['めにわるい']]#4#['&exp;', '&adj-i;']#['bad for the eyes']
['物のわかった']#[['もののわかった']]#4#['&exp;', '&adj-f;']#['fair-minded', 'sensible']
['用に足りない']#[['ようにたりない']]#4#['&adj-i;']#['of no use', 'useless']
['理のある']#[['りのある']]#4#['&exp;', '&adj-f;']#['justifiable', 'warranted', 'reasonable']
['不学']#[['ふがく']]#4#['&adj-na;']#['unlearned', 'uneducated']
['暗鬱']#[['あんうつ']]#4#['&n;', '&adj-na;']#['gloom', 'melancholy']
['気が弱い']#[['きがよわい']]#4#['&exp;', '&adj-i;']#['timid', 'faint of heart']
['私立学校']#[['しりつがっこう']]#4#['&n;', '&adj-no;']#['private school', 'non-government school']
['時事問題']#[['じじもんだい']]#4#['&n;', '&adj-no;']#['current issues', 'current topics']
['水力発電']#[['すいりょくはつでん']]#4#['&n;', '&adj-no;']#['hydroelectric power generation', 'water-power generation']
['鴇色']#[['ときいろ']]#4#['&n;', '&adj-no;']#['pink (wing colour of crested ibis) (color)']
['質料']#[['しつりょう']]#4#['&n;', '&adj-no;']#['matter (in Aristotelian philosophy)']
['短め']#[['みじかめ']]#4#['&adj-no;', '&adj-na;', '&n;']#['shortish', 'rather short', 'somewhat short']
['二元']#[['にげん']]#4#['&n;', '&adj-no;']#['duality', 'binary (system)']
['有りとあらゆる']#[['ありとあらゆる']]#4#['&exp;', '&adj-pn;']#['every conceivable', 'every single', 'every possible', 'all kinds of']
['民生用']#[['みんせいよう']]#4#['&adj-no;']#['consumer (use)']
['エナメル質']#[['エナメルしつ']]#4#['&n;', '&adj-f;']#['(tooth) enamel', 'adamantine']
['カーキ色']#[['カーキいろ']]#4#['&n;', '&adj-no;']#['khaki (colour)']
['ラセミ体']#[['ラセミたい']]#4#['&n;', '&adj-no;']#['racemic body']
['意地悪い']#[['いじわるい']]#4#['&adj-i;']#['ill-natured', 'mean', 'nasty', 'sadistic', 'cruel', 'mean-spirited']
['持て持て']#[['もてもて'], ['モテモテ']]#4#['&adj-na;']#['sexy', 'popular', 'well-liked']
['気軽い']#[['きがるい']]#4#['&adj-i;']#['cheerful', 'buoyant', 'lighthearted']
['気持ち悪い']#[['きもちわるい']]#4#['&adj-i;']#['bad feeling', 'feeling bad', 'disagreeable', 'unpleasant', 'revolting', 'gross', 'disgusting']
['茶色い']#[['ちゃいろい']]#4#['&adj-i;']#['light brown', 'tawny']
['通年']#[['つうねん']]#4#['&n;', '&adj-no;']#['all year', 'year round']
['同送']#[['どうそう']]#4#['&adj-no;']#['shipped together', 'sent at the same time']
['一歩も引かない']#[['いっぽもひかない']]#4#['&exp;', '&adj-i;']#['not budging an inch', \"to stand one's ground\"]
['近場']#[['ちかば']]#4#['&n;', '&adj-no;']#['nearby place']
['本真']#[['ほんま'], ['ホンマ']]#4#['&adj-no;', '&adj-na;', '&n;']#['truth', 'reality']
['薬物使用']#[['やくぶつしよう']]#4#['&n;', '&adj-no;']#['drug use']
['どす黒い']#[['どすぐろい']]#4#['&adj-i;']#['darkish', 'dusky']
['した方がいい']#[['したほうがいい'], ['したほうがよい']]#4#['&exp;', '&adj-ix;']#['had better do so']
['開けっぴろげ']#[['あけっぴろげ']]#4#['&adj-na;']#['unguarded', 'frank', 'open']
['いけ好かない']#[['いけすかない'], ['イケすかない']]#4#['&exp;', '&adj-i;']#['nasty', 'disgusting', 'detestable', 'unpleasant', 'disagreeable', 'creepy']
['止めどない']#[['とめどない']]#4#['&adj-i;']#['endless', 'ceaseless']
['真っ白い']#[['まっしろい']]#4#['&adj-i;']#['pure white']
['思わしい']#[['おもわしい']]#4#['&adj-i;']#['suitable', 'satisfactory', 'desirable']
['思わしくない']#[['おもわしくない']]#4#['&adj-i;']#['disappointing', 'unsatisfactory', 'unsuitable']
['死すべき']#[['しすべき']]#4#['&adj-f;']#['mortal']
['色とりどり']#[['いろとりどり']]#4#['&adj-no;', '&adj-na;']#['multicolored', 'multicoloured', 'of various colors', 'of various colours']
['真っ黒い']#[['まっくろい']]#4#['&adj-i;']#['pitch black', 'deep black']
['赤煉瓦']#[['あかれんが'], ['あかレンガ']]#4#['&n;', '&adj-no;']#['red brick']
['太りすぎ']#[['ふとりすぎ']]#4#['&n;', '&adj-no;']#['overweight']
['着古し']#[['きふるし']]#4#['&n;', '&adj-no;']#['old clothes', 'worn-out clothes', 'cast-off clothes']
['同年代']#[['どうねんだい']]#4#['&n;', '&adj-no;']#['the same generation', 'coeval']
['多者間']#[['たしゃかん']]#4#['&n;', '&adj-no;']#['multilateral', 'multi-party']
['太り気味']#[['ふとりぎみ']]#4#['&adj-no;']#['plump', 'rather overweight']
['お好み']#[['おこのみ']]#4#['&n;', '&adj-no;']#['choice', 'preference']
['水力電気']#[['すいりょくでんき']]#4#['&n;', '&adj-no;']#['hydroelectricity']
['多民族']#[['たみんぞく']]#4#['&adj-no;']#['multiracial', 'multiethnic']
['開かずの']#[['あかずの']]#4#['&adj-f;']#['unopened']
['明けやらぬ']#[['あけやらぬ']]#4#['&adj-f;']#['still dark', 'not yet dawn']
['青白']#[['あおじろ']]#4#['&n;', '&adj-no;']#['blue and white']
['その場しのぎ']#[['そのばしのぎ']]#4#['&n;', '&adj-no;']#['stopgap', 'makeshift', 'temporary measure']
['不埒千万']#[['ふらちせんばん']]#4#['&n;', '&adj-na;']#['very insolent', 'extremely audacious', 'reprehensible']
['親水']#[['しんすい']]#4#['&adj-no;']#['hydrophilic']
['頭でっかち']#[['あたまでっかち']]#4#['&adj-na;', '&adj-no;', '&n;']#['top-heavy']
['有らずもがな']#[['あらずもがな']]#4#['&exp;', '&adj-no;']#['uncalled for', 'unnecessary', 'gratuitous']
['有らぬ']#[['あらぬ']]#4#['&adj-pn;']#['wrong', 'groundless', 'false', 'improper']
['有りもしない']#[['ありもしない']]#4#['&adj-i;']#['nonexistent', 'unreal', 'imaginary', 'spurious']
['有るまじき']#[['あるまじき']]#4#['&adj-pn;']#['unworthy', 'unbecoming', 'improper']
['後ろ明き']#[['うしろあき']]#4#['&n;', '&adj-no;']#['clothing with the opening at the back']
['うそ寒い']#[['うそさむい']]#4#['&adj-i;']#['somewhat cold', 'a bit chilly']
['図がない']#[['ずがない']]#4#['&exp;', '&adj-i;']#['unthinkable', 'extraordinary', 'preposterous', 'cannot be']
['白昼堂々']#[['はくちゅうどうどう']]#4#['&adj-no;', '&adj-t;', '&adv-to;']#['openly (unashamedly) in broad daylight']
['学者バカ']#[['がくしゃバカ'], ['がくしゃばか']]#4#['&n;', '&adj-na;']#['person who is book smart but lacking in common sense', 'person who is book smart but street dumb']
['元気いっぱい']#[['げんきいっぱい']]#4#['&adj-na;', '&adj-no;', '&adv;', '&n;']#['brimming with health (vigor, vigour)', 'full of vitality', 'full of health']
['元気はつらつ']#[['げんきはつらつ']]#4#['&n;', '&adj-na;']#['full of energy', 'full of liveliness', 'full of pep']
['国家多事']#[['こっかたじ']]#4#['&n;', '&adj-no;']#['eventful times for the nation', 'the nation being in turmoil', 'the storm clouds gathering in the land']
['正体不明']#[['しょうたいふめい']]#4#['&n;', '&adj-no;']#['unidentifiable', 'unidentified']
['心外千万']#[['しんがいせんばん']]#4#['&n;', '&adj-na;']#['being totally upset (by)', 'being completely nonplussed (by)', 'being mortified (at)', 'feeling aggrieved (at)', 'finding (it) highly regrettable']
['天下多事']#[['てんかたじ']]#4#['&n;', '&adj-no;']#['eventful times for the nation (world)', 'the nation (world) being in turmoil', 'the storm clouds gathering in the land']
['気が早い']#[['きがはやい']]#4#['&exp;', '&adj-i;']#['short-tempered', 'quick-tempered', 'hasty']
['気が進まない']#[['きがすすまない']]#4#['&exp;', '&adj-i;']#['reluctant to', 'not inclined to', 'disinclined', 'unwilling']
['したり顔']#[['したりがお']]#4#['&n;', '&adj-no;']#['self-satisfied look', 'triumphant expression']
['狼狽気味']#[['ろうばいぎみ']]#4#['&n;', '&adj-na;']#['being rather confused', 'looking somewhat dismayed (perturbed)']
['お寒い']#[['おさむい']]#4#['&adj-i;']#['poor', 'unsatisfactory', 'inadequate']
['八重八重']#[['やえやえ']]#4#['&n;', '&adj-no;']#['multilayered']
['だだっ広い']#[['だだっぴろい'], ['だたっぴろい']]#4#['&adj-i;']#['excessively spacious', 'unduly wide', 'sprawling']
['通にはたまらない']#[['つうにはたまらない']]#4#['&exp;', '&adj-i;']#['irresistible to connoisseurs']
['いつも通り']#[['いつもどおり'], ['いつもとおり']]#4#['&adv;', '&adj-no;']#['as always', 'as usual']
['外国産']#[['がいこくさん']]#4#['&adj-no;']#['foreign (product, esp. agricultural)', 'of foreign manufacture']
['けったくそ悪い']#[['けったくそわるい']]#4#['&adj-i;']#['extremely vexing']
['多体']#[['たたい']]#4#['&n;', '&adj-no;']#['many-body']
['重たげ']#[['おもたげ']]#4#['&adj-na;']#['heavy']
['思わぬ']#[['おもわぬ']]#4#['&adj-f;']#['unexpected', 'unforeseen']
['早め']#[['はやめ']]#4#['&adj-no;', '&adj-na;', '&n;']#['early', 'a little earlier than usual']
['近しい']#[['ちかしい']]#4#['&adj-i;']#['intimate', 'close']
['手短']#[['てみじか']]#4#['&adj-na;']#['short', 'brief']
['よちよち歩き']#[['よちよちあるき']]#4#['&n;', '&adj-no;']#['toddling', 'taking tottering steps']
['親代代']#[['おやだいだい']]#4#['&n;', '&adj-no;']#['inheritance']
['間が悪い']#[['まがわるい']]#4#['&exp;', '&adj-i;']#['awkward', 'embarrassed', 'embarrassing']
['柑子色']#[['こうじいろ']]#4#['&n;', '&adj-no;']#['orange', 'saffron']
['すり切り']#[['すりきり']]#4#['&n;', '&adj-f;']#['levelling a powder or liquid (when measuring)']
['強い']#[['こわい']]#4#['&adj-i;']#['tough', 'stiff', 'hard']
['音なし']#[['おとなし']]#4#['&n;', '&adj-no;']#['silence', 'without sound']
['肉食動物']#[['にくしょくどうぶつ']]#4#['&n;', '&adj-no;']#['carnivore']
['低カロリー']#[['ていカロリー']]#4#['&n;', '&adj-no;']#['low-calorie']
['寒々しい']#[['さむざむしい']]#4#['&adj-i;']#['bleak', 'chilly', 'dreary']
['ブチ切れ']#[['ブチきれ'], ['ブチぎれ'], ['ぶちきれ'], ['ぶちぎれ'], ['ブチキレ'], ['ブチギレ']]#4#['&adj-f;']#['livid']
['国家間']#[['こっかかん']]#4#['&adj-no;']#['cross-national']
['使用中']#[['しようちゅう']]#4#['&exp;', '&adj-no;']#['in use', 'occupied (e.g. toilet)', 'engaged']
['自分なり']#[['じぶんなり']]#4#['&exp;', '&adj-no;']#[\"(in) one's own way\"]
['急テンポ']#[['きゅうテンポ']]#4#['&n;', '&adj-na;']#['fast tempo']
['二足歩行']#[['にそくほこう']]#4#['&n;', '&adj-no;']#['bipedal walking', 'walking on two legs']
['遠々しい']#[['とおどおしい']]#4#['&adj-i;']#['distant (behavior, etc.)', 'reserved']
['特上']#[['とくじょう']]#4#['&n;', '&adj-no;']#['first class plus', 'extra special']
['東方帰一教会']#[['とうほうきいつきょうかい']]#4#['&n;', '&adj-no;']#['Eastern Catholic Churches', 'Uniate Churches', 'Eastern-rite Catholic Churches']
['一文不知']#[['いちもんふち']]#4#['&n;', '&adj-no;']#['total illiteracy']
['一文不通']#[['いちもんふつう']]#4#['&n;', '&adj-no;']#['total illiteracy']
['死生不知']#[['ししょうふち']]#4#['&n;', '&adj-no;']#['daredevil', 'reckless', \"thinking nothing of one's death\"]
['有りき']#[['ありき']]#4#['&suf;', '&adj-no;']#['based on', 'originating from']
['色チ']#[['いろチ'], ['いろち'], ['イロチ']]#4#['&n;', '&adj-no;']#['being of a different color']
['太め']#[['ふとめ']]#4#['&adj-no;', '&adj-na;', '&n;']#['plump', 'somewhat large']
['小股の切れ上がった']#[['こまたのきれあがった']]#4#['&exp;', '&adj-f;']#['(of a woman) slender and smartly shaped']
['切っても切れない']#[['きってもきれない']]#4#['&exp;', '&adj-i;']#['inseparable (esp. bond, relationship)', 'inextricable', 'joined at the hip', 'integral', 'essential', 'cannot be broken (cut, separated)', 'indissoluble']
['有らまほしい']#[['あらまほしい']]#4#['&adj-i;']#['desirable', 'ideal']
['ぐうの音も出ない']#[['ぐうのねもでない']]#4#['&exp;', '&adj-i;']#['being lost for words']
['重電']#[['じゅうでん']]#4#['&adj-f;']#['heavy electric']
['気色悪い']#[['きしょくわるい']]#4#['&adj-i;']#['weird', 'disgusting', 'sickening']
['気色が悪い']#[['きしょくがわるい']]#4#['&exp;', '&adj-i;']#['weird', 'disgusting']
['気色の悪い']#[['きしょくのわるい']]#4#['&exp;', '&adj-i;']#['weird', 'disgusting', 'sickening']
['死にそう']#[['しにそう']]#4#['&adj-na;']#['at the point of death', 'almost dead', 'about to die']
['思っても見ない']#[['おもってもみない']]#4#['&exp;', '&adj-i;']#['unexpected', 'unforeseen', 'inconceivable']
['意味不明']#[['いみふめい']]#4#['&adj-na;', '&adj-no;']#['of uncertain meaning', 'ambiguous', 'cryptic', 'nonsensical', 'incomprehensible', 'perplexing']
['有るべき']#[['あるべき']]#4#['&adj-pn;']#['ideal', 'desirable', 'the way something should be', 'target', 'goal']
['いたずら好き']#[['いたずらずき']]#4#['&adj-na;', '&adj-no;']#['mischievous']
['好み']#[['ごのみ']]#4#['&adj-na;', '&adj-no;', '&suf;']#['being fond of', 'having a liking for']
['気味悪い']#[['きみわるい'], ['きびわるい']]#4#['&adj-i;']#['unpleasant', 'uncomfortable', 'creepy', 'spooky']
['頭がいい']#[['あたまがいい'], ['あたまがよい']]#4#['&exp;', '&adj-ix;']#['bright', 'intelligent', 'clever', 'smart']
['止まない']#[['やまない']]#4#['&exp;', '&aux-adj;']#['always', 'forever']
['一回り小さい']#[['ひとまわりちいさい']]#4#['&exp;', '&adj-i;']#['a size smaller']
['切なる']#[['せつなる']]#4#['&adj-pn;']#['eager', 'earnest', 'ardent']
['近日発売']#[['きんじつはつばい']]#4#['&exp;', '&adj-no;']#['on sale soon', 'coming soon']
['心が広い']#[['こころがひろい']]#4#['&exp;', '&adj-i;']#['generous', 'broad-minded', 'big-hearted']
['産前産後']#[['さんぜんさんご']]#4#['&n;', '&adj-no;', '&adv;']#['before and after childbirth']
['方がいい']#[['ほうがいい'], ['ほうがよい']]#4#['&exp;', '&adj-ix;']#['had better ...']
['世話がない']#[['せわがない']]#4#['&exp;', '&adj-i;']#['simple (e.g. matter)', 'problem free']
['アクが強い']#[['アクがつよい'], ['あくがつよい']]#4#['&exp;', '&adj-i;']#['having a strong alkaline taste', 'harsh to the taste']
['煤色']#[['すすいろ']]#4#['&n;', '&adj-no;']#['color of soot (colour)']
['輓近']#[['ばんきん']]#4#['&n;', '&adj-no;', '&adv;']#['lately', 'recently', 'in recent times']
['と思しい']#[['とおぼしい']]#4#['&exp;', '&adj-i;']#['thought to be', 'seen as']
['安かろう悪かろう']#[['やすかろうわるかろう']]#4#['&exp;', '&adj-no;']#['you get what you pay for', 'cheap and nasty']
['か黒い']#[['かぐろい']]#4#['&adj-i;']#['deep black']
['頭が上がらない']#[['あたまがあがらない']]#4#['&exp;', '&adj-i;']#['to be no match for (e.g. outclassed in authority, strength or in debt to)', 'to be unable to act on an equal basis with']
['開いた口が塞がらない']#[['あいたくちがふさがらない']]#4#['&exp;', '&adj-i;']#['to be surprising', 'to be shocking', 'to be jaw-dropping']
['きれい好き']#[['きれいずき']]#4#['&n;', '&adj-na;']#['love of cleanliness', 'liking to keep things clean', 'tidiness (of people)', 'neatness']
['合わせる顔がない']#[['あわせるかおがない']]#4#['&exp;', '&adj-i;']#['too ashamed to meet']
['有り気']#[['ありげ']]#4#['&n-suf;', '&adj-na;']#['appearing to have', 'seeming to be']
['後生動物']#[['こうせいどうぶつ']]#4#['&n;', '&adj-no;']#['metazoan (any member of the animal kingdom, excluding protozoans and sponges)']
['タチ悪い']#[['タチわるい'], ['たちわるい']]#4#['&exp;', '&adj-i;']#['in bad taste', 'problematic', 'of poor character']
['思いもかけない']#[['おもいもかけない']]#4#['&exp;', '&adj-i;']#['unexpected', 'contrary to expectations', 'unforeseen']
['気分が悪い']#[['きぶんがわるい']]#4#['&exp;', '&adj-i;']#['feel sick', 'feel unwell']
['歩き']#[['あるき'], ['ありき']]#4#['&n;', '&adj-no;']#['walk', 'walking']
['白一色']#[['はくいっしょく'], ['しろいっしょく']]#4#['&n;', '&adj-f;']#['bright white (esp. for snow and ice)', 'brilliant white']
['電池切れ']#[['でんちぎれ']]#4#['&n;', '&adj-no;']#['running out of battery', 'battery depletion', 'going flat', 'going dead']
['弱っちい']#[['よわっちい']]#4#['&adj-i;']#['weak', 'feeble']
['お先真っ暗']#[['おさきまっくら']]#4#['&adj-na;', '&adj-no;', '&n;']#['very bleak', 'dim']
['止し']#[['さし']]#4#['&n-suf;', '&adj-no;']#['stopped in the midst of', 'half- (i.e. half-read)']
['思ってもいない']#[['おもってもいない']]#4#['&exp;', '&adj-i;']#['unanticipated', 'unexpected']
['ばつが悪い']#[['ばつがわるい'], ['バツがわるい']]#4#['&exp;', '&adj-i;']#['awkward', 'uncomfortable', 'embarrassing']
['ノリが悪い']#[['ノリがわるい'], ['のりがわるい']]#4#['&exp;', '&adj-i;']#['difficult to get into']
['アクの強い']#[['アクのつよい'], ['あくのつよい']]#4#['&adj-i;']#['harsh tasting', 'strongly alkaline tasting']
['バツの悪い']#[['バツのわるい'], ['ばつのわるい']]#4#['&adj-i;']#['awkward', 'uncomfortable', 'embarrassing']
['運の悪い']#[['うんのわるい']]#4#['&adj-i;']#['unlucky']
['目の悪い']#[['めのわるい']]#4#['&exp;', '&adj-i;']#['having poor eyesight', 'poorly sighted']
['気の強い']#[['きのつよい']]#4#['&adj-i;']#['strong-willed', 'strong of heart']
['気の弱い']#[['きのよわい']]#4#['&exp;', '&adj-i;']#['timid', 'faint of heart']
['気の早い']#[['きのはやい']]#4#['&exp;', '&adj-i;']#['short-tempered', 'quick-tempered', 'hasty']
['気の短い']#[['きのみじかい']]#4#['&adj-i;']#['quick-tempered', 'impatient']
['口の悪い']#[['くちのわるい']]#4#['&exp;', '&adj-i;']#['sarcastic', 'foulmouthed', 'having a sharp tongue', 'having a sharp nasty tongue']
['口の軽い']#[['くちのかるい']]#4#['&exp;', '&adj-i;']#['loose-tongued', 'talkative']
['耳の遠い']#[['みみのとおい']]#4#['&exp;', '&adj-i;']#['hard of hearing']
['耳の早い']#[['みみのはやい']]#4#['&adj-i;']#['quick-eared']
['手の早い']#[['てのはやい']]#4#['&adj-i;']#['fast working']
['遜色のない']#[['そんしょくのない']]#4#['&exp;', '&adj-f;']#['standing comparison with', 'comparing favorably with', 'by no means inferior to', 'equal to']
['意味不']#[['いみふ'], ['イミフ']]#4#['&adj-na;']#['of uncertain meaning', 'ambiguous', 'cryptic', 'nonsensical', 'incomprehensible', 'perplexing']
['頭のおかしい']#[['あたまのおかしい']]#4#['&exp;', '&adj-f;']#['insane', 'crazy', 'nuts', \"out of one's mind\"]
['頭の悪い']#[['あたまのわるい']]#4#['&adj-i;']#['slow', 'weak-headed']
['頭の高い']#[['あたまのたかい']]#4#['&adj-i;']#['haughty']
['分の悪い']#[['ぶのわるい']]#4#['&exp;', '&adj-i;']#['disadvantageous', 'long (odds)']
['引赤']#[['いんせき']]#4#['&n;', '&adj-no;']#['rubefaction (reddening of the skin)']
['生物分子']#[['せいぶつぶんし']]#4#['&adj-f;']#['biomolecular']
['獰悪']#[['どうあく']]#4#['&adj-na;']#['violent', 'cruel', 'fiendish']
['たちが悪い']#[['たちがわるい'], ['タチがわるい']]#4#['&exp;', '&adj-i;']#['of bad character', 'ill-natured', 'nasty', 'vicious', 'wicked', 'malignant']
['たちの悪い']#[['たちのわるい'], ['タチのわるい']]#4#['&exp;', '&adj-f;']#['of bad character', 'ill-natured', 'nasty', 'vicious', 'wicked', 'malignant']
['質がいい']#[['たちがいい'], ['たちがよい']]#4#['&exp;', '&adj-ix;']#['good-natured', 'of good character']
['小室']#[['こむろ']]#4#['&n;', '&adj-no;']#['areole']
['犬も食わない']#[['いぬもくわない']]#4#['&exp;', '&adj-i;']#['avoided by everybody', 'disliked by everybody', {'_': 'not even a dog will eat (it)', '$': {'g_type': 'lit'}}]
['頭悪い']#[['あたまわるい']]#4#['&adj-i;']#['slow', 'dim']
['頭いい']#[['あたまいい'], ['あたまよい']]#4#['&exp;', '&adj-ix;']#['bright', 'intelligent']
['時間別']#[['じかんべつ']]#4#['&adj-f;']#['differentiated by time']
['顔色が悪い']#[['かおいろがわるい']]#4#['&exp;', '&adj-i;']#['looking pale', 'looking unwell']
['都合がよろしい']#[['つごうがよろしい']]#4#['&exp;', '&adj-i;']#['convenient']
['都合のいい']#[['つごうのいい'], ['つごうのよい']]#4#['&exp;', '&adj-ix;']#['convenient']
['都合がいい']#[['つごうがいい'], ['つごうがよい']]#4#['&exp;', '&adj-ix;']#['convenient']
['都合が悪い']#[['つごうがわるい']]#4#['&exp;', '&adj-i;']#['inconvenient']
['都合の悪い']#[['つごうのわるい']]#4#['&exp;', '&adj-i;']#['inconvenient']
['自分中心']#[['じぶんちゅうしん']]#4#['&adj-no;']#['self-centered', 'stuck on oneself']
['外肛動物']#[['がいこうどうぶつ']]#4#['&n;', '&adj-no;']#['ectoprocta', 'bryozoa', 'moss animals']
['都合のよろしい']#[['つごうのよろしい']]#4#['&adj-i;']#['convenient']
['回り遠い']#[['まわりどおい']]#4#['&adj-i;']#['roundabout']
['物の']#[['ものの']]#4#['&adj-pn;']#['only ...', 'no more than ...', 'a matter of']
['主な']#[['おもな']]#4#['&adj-pn;']#['chief', 'main', 'principal', 'important']
['去んぬる']#[['さんぬる']]#4#['&adj-pn;']#['last ... (e.g. \"last April\")']
['主立った']#[['おもだった']]#4#['&adj-f;']#['chief', 'leading', 'important', 'prominent']
['何か別']#[['なにかべつ']]#4#['&exp;', '&adj-no;']#['another', 'different', 'something else']
['足が早い']#[['あしがはやい']]#4#['&exp;', '&adj-i;']#['to be fast at walking and running']
['産学']#[['さんがく']]#4#['&n;', '&adj-f;']#['industry-academic', 'industry-university']
['ゼロ以外']#[['ゼロいがい']]#4#['&n;', '&adj-no;']#['non-zero']
['開発中']#[['かいはつちゅう']]#4#['&adj-no;']#['under development', 'in development']
['手動による']#[['しゅどうによる']]#4#['&exp;', '&adj-f;']#['manually powered', 'manual']
['低レベル']#[['ていレベル']]#4#['&adj-no;', '&adj-na;', '&n;']#['low-level']
['足が重い']#[['あしがおもい']]#4#['&exp;', '&adj-i;']#['heavy-footed', 'slow of foot']
['明か']#[['さやか']]#4#['&adj-na;']#['clear', 'fresh', 'bright']
['尻が軽い']#[['しりがかるい']]#4#['&exp;', '&adj-i;']#['fast', 'brisk']
['気品のある']#[['きひんのある']]#4#['&exp;', '&adj-f;']#['elegant', 'graceful', 'refined']
['尻が重い']#[['しりがおもい']]#4#['&exp;', '&adj-i;']#['lazy', 'indolent', \"reluctant to get up off one's backside\"]
